 x/h, U+, V+
  2.45437E-02  5.04634E-01 -3.37366E-02
  7.36311E-02  5.10974E-01 -3.30239E-02
  1.22718E-01  5.14479E-01 -3.06010E-02
  1.71806E-01  5.15556E-01 -2.76149E-02
  2.20893E-01  5.16107E-01 -2.50011E-02
  2.69981E-01  5.17275E-01 -2.28993E-02
  3.19068E-01  5.19286E-01 -2.07373E-02
  3.68155E-01  5.20934E-01 -1.77888E-02
  4.17243E-01  5.17987E-01 -1.39603E-02
  4.66330E-01  5.05117E-01 -1.00365E-02
  5.15418E-01  4.81305E-01 -6.98252E-03
  5.64505E-01  4.51986E-01 -5.03259E-03
  6.13592E-01  4.25161E-01 -3.57973E-03
  6.62680E-01  4.05847E-01 -2.09238E-03
  7.11767E-01  3.94091E-01 -9.02088E-04
  7.60854E-01  3.87014E-01 -6.13531E-04
  8.09942E-01  3.81560E-01 -9.70815E-04
  8.59029E-01  3.75684E-01 -9.34923E-04
  9.08117E-01  3.68345E-01  1.72333E-04
  9.57204E-01  3.59235E-01  2.01345E-03
  1.00629E+00  3.48631E-01  3.64340E-03
  1.05538E+00  3.37352E-01  4.29545E-03
  1.10447E+00  3.26598E-01  3.84313E-03
  1.15355E+00  3.17671E-01  2.77839E-03
  1.20264E+00  3.11617E-01  1.85280E-03
  1.25173E+00  3.08910E-01  1.59489E-03
  1.30082E+00  3.09383E-01  1.96289E-03
  1.34990E+00  3.12438E-01  2.39133E-03
  1.39899E+00  3.17341E-01  2.25006E-03
  1.44808E+00  3.23311E-01  1.36522E-03
  1.49717E+00  3.29454E-01  1.61867E-04
  1.54625E+00  3.34830E-01 -6.81330E-04
  1.59534E+00  3.38745E-01 -7.56265E-04
  1.64443E+00  3.41080E-01 -2.21726E-04
  1.69351E+00  3.42476E-01  3.09935E-04
  1.74260E+00  3.44322E-01  1.79759E-04
  1.79169E+00  3.48443E-01 -9.20673E-04
  1.84078E+00  3.56362E-01 -2.79056E-03
  1.88986E+00  3.68381E-01 -4.78978E-03
  1.93895E+00  3.83185E-01 -6.06074E-03
  1.98804E+00  3.98256E-01 -5.91801E-03
  2.03713E+00  4.10562E-01 -4.33822E-03
  2.08621E+00  4.17346E-01 -2.08806E-03
  2.13530E+00  4.17346E-01 -1.01287E-04
  2.18439E+00  4.11621E-01  1.24670E-03
  2.23348E+00  4.02809E-01  2.04502E-03
  2.28256E+00  3.93396E-01  2.27753E-03
  2.33165E+00  3.84782E-01  1.77832E-03
  2.38074E+00  3.77698E-01  7.08778E-04
  2.42983E+00  3.72756E-01 -2.79006E-04
  2.47891E+00  3.70271E-01 -6.21600E-04
  2.52800E+00  3.69815E-01 -6.24623E-04
  2.57709E+00  3.70350E-01 -1.29666E-03
  2.62618E+00  3.71222E-01 -2.70342E-03
  2.67526E+00  3.73465E-01 -2.22281E-03
  2.72435E+00  3.79326E-01  3.74262E-03
  2.77344E+00  3.89537E-01  1.45717E-02
  2.82252E+00  4.02258E-01  2.41349E-02
  2.87161E+00  4.15757E-01  2.62189E-02
  2.92070E+00  4.30393E-01  2.01435E-02
  2.96979E+00  4.46352E-01  1.06618E-02
  3.01887E+00  4.61226E-01  3.12276E-03
  3.06796E+00  4.71116E-01  1.55068E-04
  3.11705E+00  4.72742E-01  1.69955E-03
  3.16614E+00  4.65169E-01  5.84554E-03
  3.21522E+00  4.51163E-01  9.81735E-03
  3.26431E+00  4.36573E-01  1.10006E-02
  3.31340E+00  4.28030E-01  8.04087E-03
  3.36249E+00  4.30304E-01  2.00964E-03
  3.41157E+00  4.43247E-01 -3.58706E-03
  3.46066E+00  4.60653E-01 -6.02893E-03
  3.50975E+00  4.75133E-01 -7.18296E-03
  3.55884E+00  4.84327E-01 -9.86981E-03
  3.60792E+00  4.89801E-01 -1.14516E-02
  3.65701E+00  4.92715E-01 -6.21704E-03
  3.70610E+00  4.94991E-01  6.02948E-03
  3.75518E+00  5.01252E-01  1.85038E-02
  3.80427E+00  5.15062E-01  2.49408E-02
  3.85336E+00  5.33316E-01  2.59930E-02
