 x/h, U+, V+
  2.45437E-02  5.89605E-01 -7.56849E-03
  7.36311E-02  5.72651E-01 -1.62333E-02
  1.22718E-01  5.51905E-01 -2.39371E-02
  1.71806E-01  5.33966E-01 -2.94981E-02
  2.20893E-01  5.22961E-01 -3.25199E-02
  2.69981E-01  5.19799E-01 -3.32674E-02
  3.19068E-01  5.23291E-01 -3.21830E-02
  3.68155E-01  5.31270E-01 -2.97652E-02
  4.17243E-01  5.41304E-01 -2.66569E-02
  4.66330E-01  5.51378E-01 -2.34670E-02
  5.15418E-01  5.60500E-01 -2.03928E-02
  5.64505E-01  5.68681E-01 -1.72369E-02
  6.13592E-01  5.76313E-01 -1.39443E-02
  6.62680E-01  5.83658E-01 -1.08696E-02
  7.11767E-01  5.90540E-01 -8.39382E-03
  7.60854E-01  5.96056E-01 -6.62049E-03
  8.09942E-01  5.98756E-01 -5.54523E-03
  8.59029E-01  5.97609E-01 -5.29592E-03
  9.08117E-01  5.93004E-01 -6.21175E-03
  9.57204E-01  5.86906E-01 -8.74740E-03
  1.00629E+00  5.82277E-01 -1.31845E-02
  1.05538E+00  5.82807E-01 -1.91283E-02
  1.10447E+00  5.92886E-01 -2.47158E-02
  1.15355E+00  6.14261E-01 -2.65662E-02
  1.20264E+00  6.38831E-01 -2.25150E-02
  1.25173E+00  6.49490E-01 -1.46266E-02
  1.30082E+00  6.33987E-01 -7.18841E-03
  1.34990E+00  5.94015E-01 -2.71509E-03
  1.39899E+00  5.39691E-01 -1.23281E-03
  1.44808E+00  4.81072E-01 -1.62907E-03
  1.49717E+00  4.25317E-01 -2.65815E-03
  1.54625E+00  3.77102E-01 -3.39059E-03
  1.59534E+00  3.38927E-01 -3.40901E-03
  1.64443E+00  3.11152E-01 -2.73864E-03
  1.69351E+00  2.92488E-01 -1.60751E-03
  1.74260E+00  2.80861E-01 -2.67142E-04
  1.79169E+00  2.74210E-01  1.05513E-03
  1.84078E+00  2.70969E-01  2.16588E-03
  1.88986E+00  2.70149E-01  2.94155E-03
  1.93895E+00  2.71149E-01  3.35437E-03
  1.98804E+00  2.73487E-01  3.43972E-03
  2.03713E+00  2.76652E-01  3.23436E-03
  2.08621E+00  2.80122E-01  2.76013E-03
  2.13530E+00  2.83453E-01  2.06922E-03
  2.18439E+00  2.86326E-01  1.28909E-03
  2.23348E+00  2.88527E-01  6.06767E-04
  2.28256E+00  2.89924E-01  1.95615E-04
  2.33165E+00  2.90494E-01  1.46956E-04
  2.38074E+00  2.90348E-01  4.63361E-04
  2.42983E+00  2.89722E-01  1.10277E-03
  2.47891E+00  2.88932E-01  2.02724E-03
  2.52800E+00  2.88349E-01  3.22965E-03
  2.57709E+00  2.88347E-01  4.71886E-03
  2.62618E+00  2.89226E-01  6.44861E-03
  2.67526E+00  2.91111E-01  8.22928E-03
  2.72435E+00  2.93898E-01  9.71488E-03
  2.77344E+00  2.97271E-01  1.05215E-02
  2.82252E+00  3.00734E-01  1.04208E-02
  2.87161E+00  3.03616E-01  9.47100E-03
  2.92070E+00  3.05045E-01  7.98846E-03
  2.96979E+00  3.03969E-01  6.40936E-03
  3.01887E+00  2.99380E-01  5.19453E-03
  3.06796E+00  2.90886E-01  4.84692E-03
  3.11705E+00  2.79350E-01  5.91270E-03
  3.16614E+00  2.66882E-01  8.75999E-03
  3.21522E+00  2.55875E-01  1.32103E-02
  3.26431E+00  2.47874E-01  1.84551E-02
  3.31340E+00  2.43192E-01  2.34489E-02
  3.36249E+00  2.41196E-01  2.73786E-02
  3.41157E+00  2.40793E-01  2.97929E-02
  3.46066E+00  2.40938E-01  3.04880E-02
  3.50975E+00  2.41049E-01  2.94795E-02
  3.55884E+00  2.41025E-01  2.70967E-02
  3.60792E+00  2.40855E-01  2.39491E-02
  3.65701E+00  2.40310E-01  2.06912E-02
  3.70610E+00  2.39090E-01  1.78226E-02
  3.75518E+00  2.37171E-01  1.56786E-02
  3.80427E+00  2.34877E-01  1.44949E-02
  3.85336E+00  2.32635E-01  1.44180E-02
  3.90245E+00  2.30714E-01  1.54932E-02
  3.95153E+00  2.29146E-01  1.76658E-02
  4.00062E+00  2.27807E-01  2.07292E-02
  4.04971E+00  2.26585E-01  2.42309E-02
  4.09880E+00  2.25571E-01  2.74960E-02
  4.14788E+00  2.25172E-01  2.98764E-02
  4.19697E+00  2.26055E-01  3.11128E-02
  4.24606E+00  2.28865E-01  3.15176E-02
  4.29515E+00  2.33862E-01  3.17318E-02
  4.34423E+00  2.40784E-01  3.22107E-02
  4.39332E+00  2.49132E-01  3.29873E-02
  4.44241E+00  2.58567E-01  3.39128E-02
  4.49150E+00  2.69051E-01  3.48908E-02
  4.54058E+00  2.80788E-01  3.57756E-02
  4.58967E+00  2.94115E-01  3.62643E-02
  4.63876E+00  3.09253E-01  3.60416E-02
  4.68785E+00  3.25966E-01  3.49182E-02
  4.73693E+00  3.43413E-01  3.27850E-02
  4.78602E+00  3.60383E-01  2.95684E-02
  4.83511E+00  3.75737E-01  2.53230E-02
  4.88419E+00  3.88730E-01  2.03492E-02
  4.93328E+00  3.99068E-01  1.51709E-02
  4.98237E+00  4.06728E-01  1.03758E-02
  5.03146E+00  4.11706E-01  6.45072E-03
  5.08054E+00  4.13906E-01  3.69794E-03
  5.12963E+00  4.13259E-01  2.20140E-03
  5.17872E+00  4.09955E-01  1.81678E-03
  5.22781E+00  4.04518E-01  2.21693E-03
  5.27689E+00  3.97609E-01  3.00193E-03
  5.32598E+00  3.89780E-01  3.82209E-03
  5.37507E+00  3.81430E-01  4.45210E-03
  5.42416E+00  3.73002E-01  4.78674E-03
  5.47324E+00  3.65182E-01  4.77429E-03
  5.52233E+00  3.58872E-01  4.35510E-03
  5.57142E+00  3.54925E-01  3.48051E-03
  5.62051E+00  3.53825E-01  2.19817E-03
  5.66959E+00  3.55521E-01  6.84448E-04
  5.71868E+00  3.59537E-01 -8.59821E-04
  5.76777E+00  3.65315E-01 -2.35526E-03
  5.81686E+00  3.72598E-01 -3.85945E-03
  5.86594E+00  3.81592E-01 -5.43562E-03
  5.91503E+00  3.92767E-01 -7.02229E-03
  5.96412E+00  4.06380E-01 -8.41410E-03
  6.01320E+00  4.21831E-01 -9.32503E-03
  6.06229E+00  4.37018E-01 -9.49115E-03
  6.11138E+00  4.48314E-01 -8.86168E-03
  6.16047E+00  4.52055E-01 -7.76900E-03
  6.20955E+00  4.47071E-01 -6.72065E-03
  6.25864E+00  4.35824E-01 -5.90123E-03
  6.30773E+00  4.22669E-01 -5.07128E-03
  6.35682E+00  4.11064E-01 -4.03046E-03
  6.40590E+00  4.02401E-01 -2.94009E-03
  6.45499E+00  3.96662E-01 -2.07623E-03
  6.50408E+00  3.93369E-01 -1.44242E-03
  6.55317E+00  3.91981E-01 -7.49287E-04
  6.60225E+00  3.91937E-01  3.11889E-04
  6.65134E+00  3.92743E-01  1.87715E-03
  6.70043E+00  3.94147E-01  3.92314E-03
  6.74952E+00  3.96294E-01  6.29788E-03
  6.79860E+00  3.99648E-01  8.64800E-03
  6.84769E+00  4.04673E-01  1.03984E-02
  6.89678E+00  4.11435E-01  1.09748E-02
  6.94587E+00  4.19375E-01  1.01585E-02
  6.99495E+00  4.27393E-01  8.24748E-03
  7.04404E+00  4.34271E-01  5.88236E-03
  7.09313E+00  4.39205E-01  3.71572E-03
  7.14221E+00  4.42108E-01  2.17510E-03
  7.19130E+00  4.43453E-01  1.39831E-03
  7.24039E+00  4.43854E-01  1.28241E-03
  7.28948E+00  4.43751E-01  1.58746E-03
  7.33856E+00  4.43332E-01  2.06203E-03
  7.38765E+00  4.42590E-01  2.54511E-03
  7.43674E+00  4.41361E-01  2.99451E-03
  7.48583E+00  4.39334E-01  3.42480E-03
  7.53491E+00  4.36111E-01  3.79241E-03
  7.58400E+00  4.31373E-01  3.91742E-03
  7.63309E+00  4.25117E-01  3.52815E-03
  7.68218E+00  4.17842E-01  2.42750E-03
  7.73126E+00  4.10597E-01  6.79578E-04
  7.78035E+00  4.04755E-01 -1.30528E-03
  7.82944E+00  4.01532E-01 -2.85659E-03
  7.87853E+00  4.01413E-01 -3.30950E-03
  7.92761E+00  4.03891E-01 -2.36140E-03
  7.97670E+00  4.07788E-01 -2.99789E-04
  8.02579E+00  4.11929E-01  2.10452E-03
  8.07487E+00  4.15641E-01  3.99473E-03
  8.12396E+00  4.18798E-01  4.83432E-03
  8.17305E+00  4.21579E-01  4.58433E-03
  8.22214E+00  4.24152E-01  3.63212E-03
  8.27122E+00  4.26482E-01  2.56964E-03
  8.32031E+00  4.28273E-01  1.91490E-03
  8.36940E+00  4.29095E-01  1.88534E-03
  8.41849E+00  4.28625E-01  2.36114E-03
  8.46757E+00  4.26828E-01  3.06094E-03
  8.51666E+00  4.23984E-01  3.76366E-03
  8.56575E+00  4.20605E-01  4.40108E-03
  8.61484E+00  4.17330E-01  4.99951E-03
  8.66392E+00  4.14796E-01  5.57741E-03
  8.71301E+00  4.13461E-01  6.09678E-03
  8.76210E+00  4.13431E-01  6.48852E-03
  8.81119E+00  4.14424E-01  6.71798E-03
  8.86027E+00  4.15898E-01  6.81795E-03
  8.90936E+00  4.17272E-01  6.84342E-03
  8.95845E+00  4.18130E-01  6.80740E-03
  9.00754E+00  4.18278E-01  6.68206E-03
  9.05662E+00  4.17617E-01  6.44173E-03
  9.10571E+00  4.15978E-01  6.06465E-03
  9.15480E+00  4.13095E-01  5.51085E-03
  9.20388E+00  4.08783E-01  4.76246E-03
  9.25297E+00  4.03206E-01  3.88573E-03
  9.30206E+00  3.97041E-01  2.99284E-03
  9.35115E+00  3.91475E-01  2.14862E-03
  9.40023E+00  3.87967E-01  1.41969E-03
  9.44932E+00  3.87741E-01  1.05430E-03
  9.49841E+00  3.91165E-01  1.44389E-03
  9.54750E+00  3.97554E-01  2.67438E-03
  9.59658E+00  4.05854E-01  4.19598E-03
  9.64567E+00  4.15416E-01  5.27251E-03
  9.69476E+00  4.25614E-01  5.71936E-03
  9.74385E+00  4.34893E-01  5.95178E-03
  9.79293E+00  4.41526E-01  6.48966E-03
  9.84202E+00  4.45803E-01  7.49331E-03
  9.89111E+00  4.50167E-01  8.35630E-03
  9.94020E+00  4.56669E-01  7.89334E-03
  9.98928E+00  4.65306E-01  5.79870E-03
  1.00384E+01  4.74845E-01  3.84834E-03
  1.00875E+01  4.83913E-01  4.28085E-03
  1.01365E+01  4.91161E-01  6.84061E-03
  1.01856E+01  4.95639E-01  9.08004E-03
  1.02347E+01  4.96785E-01  9.93685E-03
  1.02838E+01  4.93324E-01  1.15075E-02
  1.03329E+01  4.84063E-01  1.60714E-02
  1.03820E+01  4.71085E-01  2.13346E-02
  1.04311E+01  4.59725E-01  2.05144E-02
  1.04802E+01  4.52609E-01  9.76372E-03
  1.05292E+01  4.45082E-01 -5.61115E-03
  1.05783E+01  4.32271E-01 -1.59523E-02
  1.06274E+01  4.18651E-01 -1.60379E-02
  1.06765E+01  4.13430E-01 -8.20105E-03
  1.07256E+01  4.20978E-01  1.28474E-03
  1.07747E+01  4.39884E-01  7.63257E-03
  1.08238E+01  4.65999E-01  9.49118E-03
  1.08729E+01  4.93817E-01  7.89633E-03
  1.09219E+01  5.17008E-01  3.96371E-03
  1.09710E+01  5.31422E-01 -2.48813E-03
  1.10201E+01  5.40128E-01 -1.12765E-02
  1.10692E+01  5.50693E-01 -1.92718E-02
  1.11183E+01  5.64257E-01 -2.17744E-02
  1.11674E+01  5.75156E-01 -1.74058E-02
  1.12165E+01  5.80107E-01 -1.03453E-02
  1.12656E+01  5.75869E-01 -7.01524E-03
  1.13146E+01  5.54763E-01 -9.87539E-03
  1.13637E+01  5.16367E-01 -1.44156E-02
  1.14128E+01  4.74450E-01 -1.53435E-02
  1.14619E+01  4.43226E-01 -1.36631E-02
  1.15110E+01  4.26612E-01 -1.21146E-02
  1.15601E+01  4.22300E-01 -1.00956E-02
  1.16092E+01  4.27834E-01 -5.90234E-03
  1.16583E+01  4.40229E-01  1.93660E-04
  1.17073E+01  4.54019E-01  3.97904E-03
  1.17564E+01  4.68327E-01 -2.06480E-03
  1.18055E+01  4.92236E-01 -1.72956E-02
  1.18546E+01  5.23778E-01 -2.29768E-02
  1.19037E+01  5.31976E-01 -5.55081E-03
  1.19528E+01  5.02771E-01  1.79204E-02
  1.20019E+01  4.71868E-01  2.13548E-02
  1.20510E+01  4.69744E-01  2.12438E-03
  1.21000E+01  4.85894E-01 -2.09075E-02
  1.21491E+01  5.01483E-01 -3.49688E-02
  1.21982E+01  5.13223E-01 -4.03652E-02
  1.22473E+01  5.24646E-01 -3.79613E-02
  1.22964E+01  5.37801E-01 -2.65010E-02
  1.23455E+01  5.52958E-01 -9.86853E-03
  1.23946E+01  5.68880E-01  3.64058E-03
  1.24437E+01  5.83492E-01  9.00809E-03
  1.24927E+01  5.94148E-01  6.98366E-03
  1.25418E+01  2.99047E-01  6.63819E-04
