 x/h, U+, V+
  2.45437E-02  4.78781E-01 -2.17105E-02
  7.36311E-02  4.81140E-01 -2.59259E-02
  1.22718E-01  4.90603E-01 -2.81366E-02
  1.71806E-01  5.03701E-01 -2.74013E-02
  2.20893E-01  5.17043E-01 -2.44069E-02
  2.69981E-01  5.29529E-01 -2.07875E-02
  3.19068E-01  5.40942E-01 -1.77820E-02
  3.68155E-01  5.49420E-01 -1.61895E-02
  4.17243E-01  5.52254E-01 -1.61249E-02
  4.66330E-01  5.49645E-01 -1.57019E-02
  5.15418E-01  5.45973E-01 -1.21044E-02
  5.64505E-01  5.46722E-01 -4.80879E-03
  6.13592E-01  5.53905E-01  3.47883E-03
  6.62680E-01  5.63644E-01  8.09869E-03
  7.11767E-01  5.70787E-01  5.31778E-03
  7.60854E-01  5.76896E-01 -2.85109E-03
  8.09942E-01  5.87823E-01 -8.30084E-03
  8.59029E-01  6.01631E-01 -6.04807E-03
  9.08117E-01  6.07690E-01  4.89810E-04
  9.57204E-01  5.99780E-01  5.95138E-03
  1.00629E+00  5.83574E-01  8.49100E-03
  1.05538E+00  5.70778E-01  9.31955E-03
  1.10447E+00  5.68137E-01  1.01670E-02
  1.15355E+00  5.72748E-01  1.13027E-02
  1.20264E+00  5.77857E-01  1.13750E-02
  1.25173E+00  5.80782E-01  9.26614E-03
  1.30082E+00  5.82905E-01  5.60474E-03
  1.34990E+00  5.84157E-01  1.75651E-03
  1.39899E+00  5.82593E-01 -1.68275E-03
  1.44808E+00  5.79812E-01 -4.72234E-03
  1.49717E+00  5.81902E-01 -7.51240E-03
  1.54625E+00  5.92277E-01 -1.02295E-02
  1.59534E+00  6.05585E-01 -1.22855E-02
  1.64443E+00  6.11954E-01 -1.29079E-02
  1.69351E+00  6.07554E-01 -1.31431E-02
  1.74260E+00  5.98616E-01 -1.52402E-02
  1.79169E+00  5.95991E-01 -1.87304E-02
  1.84078E+00  6.06722E-01 -1.80790E-02
  1.88986E+00  6.26356E-01 -9.30561E-03
  1.93895E+00  6.39334E-01  2.21644E-03
  1.98804E+00  6.32186E-01  8.43353E-03
  2.03713E+00  6.05641E-01  6.98626E-03
  2.08621E+00  5.71865E-01 -2.92368E-04
  2.13530E+00  5.42308E-01 -9.61362E-03
  2.18439E+00  5.20417E-01 -1.65687E-02
  2.23348E+00  5.04571E-01 -1.90030E-02
  2.28256E+00  4.93589E-01 -1.75731E-02
  2.33165E+00  4.87769E-01 -1.38471E-02
  2.38074E+00  4.86995E-01 -9.11893E-03
  2.42983E+00  4.89695E-01 -4.64414E-03
  2.47891E+00  4.93592E-01 -2.12903E-03
  2.52800E+00  4.97343E-01 -3.27143E-03
  2.57709E+00  5.01634E-01 -8.48709E-03
  2.62618E+00  5.08504E-01 -1.60422E-02
  2.67526E+00  5.19434E-01 -2.25514E-02
  2.72435E+00  5.34119E-01 -2.46946E-02
  2.77344E+00  5.50172E-01 -2.09564E-02
  2.82252E+00  5.63444E-01 -1.25113E-02
  2.87161E+00  5.70105E-01 -2.71360E-03
  2.92070E+00  5.68751E-01  4.86088E-03
  2.96979E+00  5.60121E-01  8.21215E-03
  3.01887E+00  5.46834E-01  7.11906E-03
  3.06796E+00  5.34424E-01  2.98793E-03
  3.11705E+00  5.26824E-01 -2.70773E-04
  3.16614E+00  5.13388E-01  4.36047E-04
  3.21522E+00  4.72459E-01  1.50856E-03
  3.26431E+00  4.00990E-01 -1.80502E-03
  3.31340E+00  3.25850E-01 -7.17743E-03
  3.36249E+00  2.77183E-01 -8.66597E-03
  3.41157E+00  2.62473E-01 -3.73303E-03
