 x/h, U+, V+
  2.45437E-02  6.73403E-01 -3.76139E-03
  7.36311E-02  6.54937E-01  1.49292E-04
  1.22718E-01  6.36970E-01 -4.77814E-04
  1.71806E-01  6.22269E-01 -4.25903E-03
  2.20893E-01  6.09985E-01 -8.02265E-03
  2.69981E-01  5.99010E-01 -9.31525E-03
  3.19068E-01  5.88701E-01 -8.39123E-03
  3.68155E-01  5.78311E-01 -6.65110E-03
  4.17243E-01  5.68035E-01 -4.51904E-03
  4.66330E-01  5.60301E-01 -2.35867E-03
  5.15418E-01  5.57623E-01 -1.50910E-03
  5.64505E-01  5.58113E-01 -2.92414E-03
  6.13592E-01  5.55657E-01 -5.92996E-03
  6.62680E-01  5.46856E-01 -8.93431E-03
  7.11767E-01  5.35896E-01 -1.08796E-02
  7.60854E-01  5.29874E-01 -1.19525E-02
  8.09942E-01  5.31121E-01 -1.31445E-02
  8.59029E-01  5.36807E-01 -1.50530E-02
  9.08117E-01  5.43738E-01 -1.71944E-02
  9.57204E-01  5.50696E-01 -1.82201E-02
  1.00629E+00  5.57167E-01 -1.66993E-02
  1.05538E+00  5.62146E-01 -1.22013E-02
  1.10447E+00  5.64698E-01 -5.77682E-03
  1.15355E+00  5.64792E-01  7.48139E-04
  1.20264E+00  5.63235E-01  5.90496E-03
  1.25173E+00  5.61135E-01  9.13686E-03
  1.30082E+00  5.58945E-01  1.05941E-02
  1.34990E+00  5.55644E-01  1.06522E-02
  1.39899E+00  5.50216E-01  9.75214E-03
  1.44808E+00  5.43990E-01  8.25747E-03
  1.49717E+00  5.38916E-01  5.91661E-03
  1.54625E+00  5.34395E-01  2.24910E-03
  1.59534E+00  5.27798E-01 -1.93300E-03
  1.64443E+00  5.14901E-01 -4.50467E-03
  1.69351E+00  4.90267E-01 -4.38093E-03
  1.74260E+00  4.53242E-01 -2.09944E-03
  1.79169E+00  4.11691E-01  2.26234E-03
  1.84078E+00  3.75620E-01  9.01192E-03
  1.88986E+00  3.50272E-01  1.74181E-02
  1.93895E+00  3.36081E-01  2.63940E-02
  1.98804E+00  3.31615E-01  3.58009E-02
  2.03713E+00  3.36018E-01  4.49823E-02
  2.08621E+00  3.50391E-01  4.96990E-02
  2.13530E+00  3.76218E-01  4.41757E-02
  2.18439E+00  4.10897E-01  2.97474E-02
  2.23348E+00  4.46363E-01  1.48646E-02
  2.28256E+00  4.73887E-01  2.98396E-03
  2.33165E+00  4.90801E-01 -9.97213E-03
  2.38074E+00  5.02824E-01 -2.57063E-02
  2.42983E+00  5.17978E-01 -3.86719E-02
  2.47891E+00  5.36917E-01 -4.17241E-02
  2.52800E+00  5.53321E-01 -3.64141E-02
  2.57709E+00  5.65410E-01 -3.24901E-02
  2.62618E+00  5.77678E-01 -3.41441E-02
  2.67526E+00  5.90220E-01 -3.71781E-02
  2.72435E+00  5.97890E-01 -3.82515E-02
  2.77344E+00  5.98601E-01 -3.71851E-02
  2.82252E+00  5.94471E-01 -3.38671E-02
  2.87161E+00  5.87722E-01 -2.77942E-02
  2.92070E+00  5.79401E-01 -1.95423E-02
  2.96979E+00  5.70617E-01 -1.18688E-02
  3.01887E+00  5.63940E-01 -8.58097E-03
  3.06796E+00  5.63328E-01 -1.10233E-02
  3.11705E+00  5.70727E-01 -1.57660E-02
