 x/h, U+, V+
  2.45437E-02  3.96015E-01  2.96746E-02
  7.36311E-02  3.86163E-01  2.88957E-02
  1.22718E-01  3.77694E-01  2.85742E-02
  1.71806E-01  3.73604E-01  2.92033E-02
  2.20893E-01  3.74774E-01  2.92185E-02
  2.69981E-01  3.80593E-01  2.60632E-02
  3.19068E-01  3.90511E-01  1.84123E-02
  3.68155E-01  4.04690E-01  6.93953E-03
  4.17243E-01  4.23475E-01 -6.85101E-03
  4.66330E-01  4.45525E-01 -2.17462E-02
  5.15418E-01  4.66297E-01 -3.67412E-02
  5.64505E-01  4.81548E-01 -4.96353E-02
  6.13592E-01  4.93595E-01 -5.54043E-02
  6.62680E-01  5.06018E-01 -5.05425E-02
  7.11767E-01  5.13596E-01 -4.08242E-02
  7.60854E-01  5.16272E-01 -3.38430E-02
  8.09942E-01  5.29184E-01 -2.70971E-02
  8.59029E-01  5.48708E-01 -1.75917E-02
  9.08117E-01  5.44487E-01 -1.03823E-02
  9.57204E-01  5.07705E-01 -6.41135E-03
  1.00629E+00  4.63931E-01 -5.24146E-04
  1.05538E+00  4.37000E-01  8.36456E-03
  1.10447E+00  4.30256E-01  1.62882E-02
  1.15355E+00  4.36386E-01  2.00337E-02
  1.20264E+00  4.48125E-01  1.91025E-02
  1.25173E+00  4.60774E-01  1.44197E-02
  1.30082E+00  4.71764E-01  7.18118E-03
  1.34990E+00  4.80218E-01 -1.41907E-03
  1.39899E+00  4.86684E-01 -9.93491E-03
  1.44808E+00  4.92533E-01 -1.65674E-02
  1.49717E+00  4.98900E-01 -1.98649E-02
  1.54625E+00  5.05795E-01 -1.97429E-02
  1.59534E+00  5.12220E-01 -1.75606E-02
  1.64443E+00  5.17132E-01 -1.50992E-02
  1.69351E+00  5.20327E-01 -1.34558E-02
  1.74260E+00  5.22418E-01 -1.26364E-02
  1.79169E+00  5.23790E-01 -1.19606E-02
  1.84078E+00  5.23401E-01 -1.08761E-02
  1.88986E+00  5.19055E-01 -9.44323E-03
  1.93895E+00  5.09540E-01 -8.05808E-03
  1.98804E+00  4.96414E-01 -6.87262E-03
  2.03713E+00  4.83100E-01 -5.70611E-03
  2.08621E+00  4.72315E-01 -4.45542E-03
  2.13530E+00  4.64702E-01 -3.28939E-03
  2.18439E+00  4.59391E-01 -2.37099E-03
  2.23348E+00  4.55078E-01 -1.60705E-03
  2.28256E+00  4.50688E-01 -7.84361E-04
  2.33165E+00  4.45753E-01  1.32031E-04
  2.38074E+00  4.40637E-01  9.36877E-04
  2.42983E+00  4.36466E-01  1.46911E-03
  2.47891E+00  4.34664E-01  1.94677E-03
  2.52800E+00  4.36223E-01  2.88456E-03
  2.57709E+00  4.41116E-01  4.47888E-03
  2.62618E+00  4.48305E-01  6.07031E-03
  2.67526E+00  4.56194E-01  6.46817E-03
