 x/h, U+, V+
  2.45437E-02  3.51270E-01 -5.71437E-03
  7.36311E-02  3.53617E-01 -4.96396E-03
  1.22718E-01  3.54315E-01 -4.15875E-03
  1.71806E-01  3.53250E-01 -3.52946E-03
  2.20893E-01  3.50541E-01 -3.10794E-03
  2.69981E-01  3.46471E-01 -2.95354E-03
  3.19068E-01  3.41324E-01 -3.38603E-03
  3.68155E-01  3.35198E-01 -4.97770E-03
  4.17243E-01  3.27975E-01 -8.20121E-03
  4.66330E-01  3.19614E-01 -1.29263E-02
  5.15418E-01  3.10847E-01 -1.81653E-02
  5.64505E-01  3.03512E-01 -2.22407E-02
  6.13592E-01  2.99484E-01 -2.34108E-02
  6.62680E-01  2.99064E-01 -2.09051E-02
  7.11767E-01  3.00934E-01 -1.55466E-02
  7.60854E-01  3.03698E-01 -9.19529E-03
  8.09942E-01  3.06970E-01 -3.66710E-03
  8.59029E-01  3.11201E-01 -1.21161E-04
  9.08117E-01  3.17027E-01  9.82805E-04
  9.57204E-01  3.24866E-01 -2.79038E-04
  1.00629E+00  3.34857E-01 -3.48015E-03
  1.05538E+00  3.46956E-01 -8.06659E-03
  1.10447E+00  3.61006E-01 -1.35372E-02
  1.15355E+00  3.76654E-01 -1.93610E-02
  1.20264E+00  3.92940E-01 -2.47192E-02
  1.25173E+00  4.08059E-01 -2.85331E-02
  1.30082E+00  4.20960E-01 -2.95377E-02
  1.34990E+00  4.32984E-01 -2.60609E-02
  1.39899E+00  4.43297E-01 -1.75985E-02
  1.44808E+00  4.44025E-01 -7.46652E-03
  1.49717E+00  4.27846E-01 -5.10816E-04
  1.54625E+00  3.97823E-01  1.50100E-03
  1.59534E+00  3.64668E-01  1.68984E-04
  1.64443E+00  3.38031E-01 -1.92219E-03
  1.69351E+00  3.21807E-01 -2.89610E-03
  1.74260E+00  3.14511E-01 -2.05879E-03
  1.79169E+00  3.12177E-01  3.61956E-04
  1.84078E+00  3.11188E-01  3.68839E-03
  1.88986E+00  3.09644E-01  7.08863E-03
  1.93895E+00  3.07387E-01  9.70036E-03
  1.98804E+00  3.05368E-01  1.07948E-02
  2.03713E+00  3.04812E-01  1.00735E-02
  2.08621E+00  3.06403E-01  7.88686E-03
  2.13530E+00  3.09776E-01  5.12930E-03
  2.18439E+00  3.13540E-01  2.90076E-03
  2.23348E+00  3.15848E-01  2.02857E-03
  2.28256E+00  3.15299E-01  2.65916E-03
  2.33165E+00  3.11583E-01  4.29775E-03
  2.38074E+00  3.05411E-01  6.22552E-03
  2.42983E+00  2.97965E-01  7.87511E-03
  2.47891E+00  2.90351E-01  8.95391E-03
  2.52800E+00  2.83351E-01  9.39486E-03
  2.57709E+00  2.77400E-01  9.27893E-03
  2.62618E+00  2.72676E-01  8.78757E-03
  2.67526E+00  2.69193E-01  8.16677E-03
  2.72435E+00  2.66876E-01  7.67868E-03
  2.77344E+00  2.65542E-01  7.53739E-03
  2.82252E+00  2.64805E-01  7.84118E-03
  2.87161E+00  2.63963E-01  8.53485E-03
  2.92070E+00  2.62083E-01  9.44652E-03
  2.96979E+00  2.58365E-01  1.03999E-02
  3.01887E+00  2.52627E-01  1.13199E-02
  3.06796E+00  2.45517E-01  1.22226E-02
  3.11705E+00  2.38164E-01  1.30908E-02
  3.16614E+00  2.31507E-01  1.37816E-02
  3.21522E+00  2.25884E-01  1.40865E-02
  3.26431E+00  2.21219E-01  1.38749E-02
  3.31340E+00  2.17519E-01  1.31748E-02
  3.36249E+00  2.15158E-01  1.21482E-02
