 x/h, U+, V+
  2.45437E-02  4.27303E-01 -2.51590E-02
  7.36311E-02  4.44219E-01 -2.44047E-02
  1.22718E-01  4.64436E-01 -2.04802E-02
  1.71806E-01  4.86083E-01 -1.33798E-02
  2.20893E-01  5.04881E-01 -5.08995E-03
  2.69981E-01  5.16745E-01  1.85555E-03
  3.19068E-01  5.20348E-01  6.02263E-03
  3.68155E-01  5.17458E-01  7.31023E-03
  4.17243E-01  5.11421E-01  6.20499E-03
  4.66330E-01  5.05226E-01  3.13967E-03
  5.15418E-01  5.00236E-01 -1.43735E-03
  5.64505E-01  4.95893E-01 -6.67225E-03
  6.13592E-01  4.90384E-01 -1.14314E-02
  6.62680E-01  4.82116E-01 -1.48551E-02
  7.11767E-01  4.71030E-01 -1.66608E-02
  7.60854E-01  4.58598E-01 -1.71034E-02
  8.09942E-01  4.46754E-01 -1.67940E-02
  8.59029E-01  4.36975E-01 -1.63581E-02
  9.08117E-01  4.29691E-01 -1.59653E-02
  9.57204E-01  4.23368E-01 -1.53552E-02
  1.00629E+00  4.14498E-01 -1.47155E-02
  1.05538E+00  4.00917E-01 -1.47152E-02
  1.10447E+00  3.85754E-01 -1.48345E-02
  1.15355E+00  3.75513E-01 -1.30952E-02
  1.20264E+00  3.73363E-01 -8.49491E-03
  1.25173E+00  3.74906E-01 -2.49542E-03
  1.30082E+00  3.68584E-01  1.90353E-03
  1.34990E+00  3.42134E-01  2.08065E-03
  1.39899E+00  2.95861E-01 -1.39395E-03
  1.44808E+00  2.48664E-01 -3.71507E-03
  1.49717E+00  2.23098E-01  3.85595E-05
  1.54625E+00  2.26305E-01  1.00583E-02
  1.59534E+00  2.50469E-01  2.29406E-02
  1.64443E+00  2.85021E-01  3.52602E-02
  1.69351E+00  3.23751E-01  4.48853E-02
  1.74260E+00  3.66135E-01  5.14082E-02
  1.79169E+00  4.14396E-01  5.68239E-02
  1.84078E+00  4.64020E-01  6.29661E-02
  1.88986E+00  5.00692E-01  6.48007E-02
  1.93895E+00  5.18186E-01  5.48696E-02
  1.98804E+00  5.27899E-01  3.54826E-02
  2.03713E+00  5.28565E-01  1.49747E-02
  2.08621E+00  4.92424E-01 -2.56942E-03
  2.13530E+00  4.14237E-01 -1.38771E-02
  2.18439E+00  3.31691E-01 -1.24694E-02
  2.23348E+00  2.75064E-01 -2.06899E-04
  2.28256E+00  2.42690E-01  1.26561E-02
  2.33165E+00  2.23861E-01  1.98856E-02
  2.38074E+00  2.12599E-01  2.14921E-02
  2.42983E+00  2.05624E-01  1.93366E-02
  2.47891E+00  2.00850E-01  1.47030E-02
  2.52800E+00  1.97553E-01  8.69577E-03
  2.57709E+00  1.95746E-01  2.78878E-03
  2.62618E+00  1.95321E-01 -1.74691E-03
  2.67526E+00  1.95930E-01 -4.26554E-03
  2.72435E+00  1.97148E-01 -4.33738E-03
  2.77344E+00  1.98360E-01 -1.58825E-03
  2.82252E+00  1.98821E-01  3.64348E-03
  2.87161E+00  1.98229E-01  9.90545E-03
  2.92070E+00  1.97220E-01  1.52886E-02
  2.96979E+00  1.97146E-01  1.85045E-02
  3.01887E+00  1.99314E-01  1.94918E-02
  3.06796E+00  2.04301E-01  1.92219E-02
  3.11705E+00  2.11843E-01  1.89375E-02
  3.16614E+00  2.21308E-01  1.94694E-02
  3.21522E+00  2.32289E-01  2.10855E-02
  3.26431E+00  2.44820E-01  2.37030E-02
  3.31340E+00  2.59177E-01  2.70651E-02
  3.36249E+00  2.75514E-01  3.07489E-02
  3.41157E+00  2.93599E-01  3.41521E-02
  3.46066E+00  3.12748E-01  3.66061E-02
  3.50975E+00  3.31906E-01  3.75956E-02
  3.55884E+00  3.49773E-01  3.69458E-02
  3.60792E+00  3.64927E-01  3.48582E-02
  3.65701E+00  3.75950E-01  3.17946E-02
  3.70610E+00  3.81583E-01  2.82897E-02
  3.75518E+00  3.80866E-01  2.47672E-02
  3.80427E+00  3.73326E-01  2.14143E-02
  3.85336E+00  3.59337E-01  1.81867E-02
  3.90245E+00  3.40537E-01  1.49841E-02
  3.95153E+00  3.19818E-01  1.18738E-02
  4.00062E+00  3.00530E-01  9.15707E-03
  4.04971E+00  2.85258E-01  7.21054E-03
  4.09880E+00  2.74983E-01  6.24496E-03
  4.14788E+00  2.69137E-01  6.18066E-03
  4.19697E+00  2.66348E-01  6.71005E-03
  4.24606E+00  2.65238E-01  7.45552E-03
