 x/h, U+, V+
  2.45437E-02  2.65566E-01  4.09392E-03
  7.36311E-02  2.85641E-01  2.20963E-03
  1.22718E-01  3.05987E-01  8.89011E-04
  1.71806E-01  3.22125E-01  9.07275E-04
  2.20893E-01  3.29584E-01  8.38452E-04
  2.69981E-01  3.26400E-01 -1.26160E-03
  3.19068E-01  3.14679E-01 -2.38171E-03
  3.68155E-01  2.94721E-01 -6.87757E-04
  4.17243E-01  2.65112E-01 -5.65749E-05
  4.66330E-01  2.32833E-01 -5.35795E-04
  5.15418E-01  2.09754E-01  2.93830E-03
  5.64505E-01  1.98640E-01  1.15625E-02
  6.13592E-01  1.94682E-01  2.27136E-02
  6.62680E-01  1.96226E-01  3.38751E-02
  7.11767E-01  2.07362E-01  4.17523E-02
  7.60854E-01  2.33230E-01  4.14329E-02
  8.09942E-01  2.73118E-01  2.99799E-02
  8.59029E-01  3.16273E-01  1.21648E-02
  9.08117E-01  3.47922E-01 -3.29103E-03
  9.57204E-01  3.60781E-01 -1.18859E-02
  1.00629E+00  3.59558E-01 -1.82354E-02
  1.05538E+00  3.60117E-01 -2.67921E-02
  1.10447E+00  3.72130E-01 -2.94948E-02
  1.15355E+00  3.73630E-01 -2.18203E-02
  1.20264E+00  3.40690E-01 -9.12181E-03
  1.25173E+00  2.89498E-01  7.31383E-03
  1.30082E+00  2.47556E-01  2.20095E-02
  1.34990E+00  2.25732E-01  2.70501E-02
  1.39899E+00  2.34909E-01  2.44770E-02
  1.44808E+00  2.77258E-01  2.05504E-02
  1.49717E+00  3.22329E-01  1.67335E-02
  1.54625E+00  3.37550E-01  8.90315E-03
  1.59534E+00  3.30999E-01 -4.82629E-03
  1.64443E+00  3.35137E-01 -1.92922E-02
  1.69351E+00  3.57680E-01 -2.88067E-02
  1.74260E+00  3.74612E-01 -3.50877E-02
  1.79169E+00  3.77984E-01 -3.42992E-02
  1.84078E+00  3.85329E-01 -2.31654E-02
  1.88986E+00  3.97232E-01 -7.31258E-03
  1.93895E+00  3.97054E-01  1.43439E-02
  1.98804E+00  3.76112E-01  4.08149E-02
  2.03713E+00  3.36189E-01  6.14720E-02
  2.08621E+00  2.86704E-01  6.82119E-02
  2.13530E+00  2.41037E-01  6.29691E-02
  2.18439E+00  2.10012E-01  5.34588E-02
  2.23348E+00  1.97004E-01  4.57549E-02
  2.28256E+00  1.98525E-01  4.10257E-02
  2.33165E+00  2.08662E-01  3.77667E-02
  2.38074E+00  2.22346E-01  3.53852E-02
  2.42983E+00  2.35602E-01  3.49489E-02
  2.47891E+00  2.45321E-01  3.71407E-02
  2.52800E+00  2.50493E-01  4.05554E-02
  2.57709E+00  2.53128E-01  4.22748E-02
  2.62618E+00  2.56425E-01  3.98346E-02
  2.67526E+00  2.61425E-01  3.38407E-02
  2.72435E+00  2.66231E-01  2.87226E-02
  2.77344E+00  2.69257E-01  2.85214E-02
  2.82252E+00  2.72755E-01  3.18640E-02
  2.87161E+00  2.80422E-01  3.05980E-02
  2.92070E+00  2.91969E-01  1.66949E-02
  2.96979E+00  3.04571E-01 -6.04547E-03
  3.01887E+00  3.17221E-01 -2.75251E-02
  3.06796E+00  3.29365E-01 -4.34225E-02
  3.11705E+00  3.40465E-01 -5.19971E-02
  3.16614E+00  3.52669E-01 -5.04471E-02
  3.21522E+00  3.69955E-01 -4.14674E-02
  3.26431E+00  3.93904E-01 -3.04965E-02
  3.31340E+00  4.19086E-01 -1.92600E-02
  3.36249E+00  4.35293E-01 -8.62494E-03
  3.41157E+00  4.36692E-01 -8.21547E-04
  3.46066E+00  4.26290E-01  2.54778E-03
  3.50975E+00  4.12775E-01  1.90112E-03
  3.55884E+00  4.04044E-01 -6.12763E-04
  3.60792E+00  4.00836E-01 -2.50469E-03
  3.65701E+00  3.96804E-01 -3.10316E-03
  3.70610E+00  3.86939E-01 -4.18485E-03
  3.75518E+00  3.74118E-01 -7.38985E-03
  3.80427E+00  3.65467E-01 -1.17371E-02
  3.85336E+00  3.63566E-01 -1.47623E-02
  3.90245E+00  3.62725E-01 -1.46467E-02
  3.95153E+00  3.52732E-01 -1.12468E-02
  4.00062E+00  3.26724E-01 -6.88357E-03
  4.04971E+00  2.88949E-01 -3.23524E-03
  4.09880E+00  2.52647E-01  1.09748E-03
  4.14788E+00  2.28100E-01  6.68831E-03
  4.19697E+00  2.16501E-01  1.13279E-02
  4.24606E+00  2.14325E-01  1.31287E-02
  4.29515E+00  2.18918E-01  1.22231E-02
  4.34423E+00  2.29307E-01  1.01841E-02
  4.39332E+00  2.43007E-01  9.04427E-03
  4.44241E+00  2.55062E-01  9.33407E-03
  4.49150E+00  2.63743E-01  9.17806E-03
  4.54058E+00  2.69187E-01  8.49991E-03
  4.58967E+00  2.60361E-01  1.18354E-02
  4.63876E+00  2.26210E-01  2.20651E-02
  4.68785E+00  1.79572E-01  3.33579E-02
  4.73693E+00  1.44052E-01  3.52976E-02
  4.78602E+00  1.30200E-01  2.63293E-02
  4.83511E+00  1.35397E-01  1.63491E-02
  4.88419E+00  1.53151E-01  1.52530E-02
  4.93328E+00  1.77714E-01  2.38517E-02
  4.98237E+00  2.04809E-01  3.52398E-02
  5.03146E+00  2.31209E-01  4.31478E-02
  5.08054E+00  2.53585E-01  4.61051E-02
  5.12963E+00  2.70063E-01  4.49578E-02
  5.17872E+00  2.82072E-01  3.97433E-02
  5.22781E+00  2.90465E-01  3.04497E-02
  5.27689E+00  2.91954E-01  1.94210E-02
  5.32598E+00  2.84731E-01  8.72572E-03
  5.37507E+00  2.74263E-01 -4.70783E-03
  5.42416E+00  2.72593E-01 -2.25338E-02
  5.47324E+00  2.88469E-01 -3.39587E-02
  5.52233E+00  3.07811E-01 -3.07399E-02
  5.57142E+00  3.05696E-01 -2.33594E-02
  5.62051E+00  2.81981E-01 -2.05198E-02
  5.66959E+00  2.56115E-01 -1.88099E-02
  5.71868E+00  2.39712E-01 -1.40717E-02
  5.76777E+00  2.33170E-01 -7.40284E-03
  5.81686E+00  2.35309E-01 -2.64692E-03
  5.86594E+00  2.45958E-01 -9.50770E-04
  5.91503E+00  2.60527E-01  2.46983E-03
  5.96412E+00  2.60513E-01  1.33454E-02
  6.01320E+00  2.33686E-01  3.40153E-02
  6.06229E+00  2.07390E-01  6.43841E-02
  6.11138E+00  2.18032E-01  9.91047E-02
  6.16047E+00  2.64540E-01  1.28361E-01
  6.20955E+00  3.20921E-01  1.41222E-01
  6.25864E+00  3.70845E-01  1.36892E-01
  6.30773E+00  4.09243E-01  1.20735E-01
  6.35682E+00  4.28409E-01  9.09371E-02
  6.40590E+00  4.37494E-01  5.70590E-02
  6.45499E+00  4.48218E-01  4.25439E-02
  6.50408E+00  4.43392E-01  4.81207E-02
  6.55317E+00  4.14116E-01  5.64427E-02
  6.60225E+00  3.78601E-01  5.92150E-02
  6.65134E+00  3.54753E-01  5.67546E-02
  6.70043E+00  3.49671E-01  5.14034E-02
  6.74952E+00  3.63256E-01  4.22930E-02
  6.79860E+00  3.88851E-01  2.68873E-02
  6.84769E+00  4.16023E-01  8.26951E-03
