 x/h, U+, V+
  2.45437E-02  3.06800E-01 -2.10856E-04
  7.36311E-02  3.03475E-01  9.44321E-05
  1.22718E-01  3.00096E-01  1.76060E-04
  1.71806E-01  2.96064E-01  2.95982E-04
  2.20893E-01  2.90491E-01  6.59381E-04
  2.69981E-01  2.82904E-01  1.27253E-03
  3.19068E-01  2.73704E-01  1.99429E-03
  3.68155E-01  2.64063E-01  2.69167E-03
  4.17243E-01  2.55417E-01  3.36894E-03
  4.66330E-01  2.48932E-01  4.19171E-03
  5.15418E-01  2.45207E-01  5.37875E-03
  5.64505E-01  2.44300E-01  7.02653E-03
  6.13592E-01  2.45964E-01  9.00727E-03
  6.62680E-01  2.49836E-01  1.10257E-02
  7.11767E-01  2.55465E-01  1.27812E-02
  7.60854E-01  2.62284E-01  1.41114E-02
  8.09942E-01  2.69726E-01  1.50364E-02
  8.59029E-01  2.77428E-01  1.56967E-02
  9.08117E-01  2.85396E-01  1.62439E-02
  9.57204E-01  2.93998E-01  1.67567E-02
  1.00629E+00  3.03753E-01  1.72248E-02
  1.05538E+00  3.15038E-01  1.75936E-02
  1.10447E+00  3.27874E-01  1.78285E-02
  1.15355E+00  3.41909E-01  1.79478E-02
  1.20264E+00  3.56586E-01  1.80017E-02
  1.25173E+00  3.71347E-01  1.80129E-02
  1.30082E+00  3.85741E-01  1.79250E-02
  1.34990E+00  3.99366E-01  1.75939E-02
  1.39899E+00  4.11758E-01  1.68268E-02
  1.44808E+00  4.22335E-01  1.54607E-02
  1.49717E+00  4.30493E-01  1.34447E-02
  1.54625E+00  4.35794E-01  1.08678E-02
  1.59534E+00  4.38144E-01  7.90638E-03
  1.64443E+00  4.37806E-01  4.74247E-03
  1.69351E+00  4.35262E-01  1.51780E-03
  1.74260E+00  4.31059E-01 -1.65693E-03
  1.79169E+00  4.25806E-01 -4.65794E-03
  1.84078E+00  4.20197E-01 -7.31661E-03
  1.88986E+00  4.14829E-01 -9.43648E-03
  1.93895E+00  4.09887E-01 -1.08600E-02
  1.98804E+00  4.05011E-01 -1.15462E-02
  2.03713E+00  3.99483E-01 -1.16003E-02
  2.08621E+00  3.92505E-01 -1.12461E-02
  2.13530E+00  3.83400E-01 -1.07583E-02
  2.18439E+00  3.71908E-01 -1.03383E-02
  2.23348E+00  3.58596E-01 -9.98183E-03
  2.28256E+00  3.45005E-01 -9.46328E-03
  2.33165E+00  3.33196E-01 -8.46648E-03
  2.38074E+00  3.24890E-01 -6.74480E-03
  2.42983E+00  3.20739E-01 -4.23730E-03
  2.47891E+00  3.20213E-01 -1.15276E-03
  2.52800E+00  3.22147E-01  2.03897E-03
  2.57709E+00  3.25552E-01  4.80128E-03
  2.62618E+00  3.30095E-01  6.80788E-03
  2.67526E+00  3.36037E-01  8.05674E-03
  2.72435E+00  3.43795E-01  8.75216E-03
  2.77344E+00  3.53461E-01  9.12231E-03
  2.82252E+00  3.64450E-01  9.31243E-03
  2.87161E+00  3.75298E-01  9.34303E-03
  2.92070E+00  3.83591E-01  9.09845E-03
  2.96979E+00  3.86151E-01  8.35027E-03
  3.01887E+00  3.79948E-01  6.83384E-03
  3.06796E+00  3.63920E-01  4.41950E-03
  3.11705E+00  3.40438E-01  1.35243E-03
  3.16614E+00  3.14712E-01 -1.57925E-03
  3.21522E+00  2.92225E-01 -3.09716E-03
  3.26431E+00  2.76139E-01 -1.88959E-03
  3.31340E+00  2.66429E-01  2.58112E-03
  3.36249E+00  2.60996E-01  9.59795E-03
  3.41157E+00  2.57364E-01  1.75248E-02
  3.46066E+00  2.53584E-01  2.45458E-02
  3.50975E+00  2.48350E-01  2.93023E-02
  3.55884E+00  2.41135E-01  3.13122E-02
  3.60792E+00  2.32587E-01  3.11150E-02
  3.65701E+00  2.24583E-01  2.99791E-02
  3.70610E+00  2.19331E-01  2.91166E-02
  3.75518E+00  2.17988E-01  2.88914E-02
  3.80427E+00  2.20081E-01  2.87859E-02
  3.85336E+00  2.24126E-01  2.81065E-02
  3.90245E+00  2.28612E-01  2.66157E-02
  3.95153E+00  2.32573E-01  2.46012E-02
  4.00062E+00  2.35689E-01  2.25787E-02
  4.04971E+00  2.38134E-01  2.09769E-02
  4.09880E+00  2.40359E-01  1.99867E-02
  4.14788E+00  2.42881E-01  1.95765E-02
  4.19697E+00  2.46092E-01  1.95632E-02
  4.24606E+00  2.50144E-01  1.96461E-02
  4.29515E+00  2.54943E-01  1.94319E-02
  4.34423E+00  2.60260E-01  1.85310E-02
  4.39332E+00  2.65869E-01  1.67181E-02
  4.44241E+00  2.71619E-01  1.40464E-02
  4.49150E+00  2.77387E-01  1.08219E-02
  4.54058E+00  2.83003E-01  7.46482E-03
  4.58967E+00  2.88198E-01  4.36114E-03
  4.63876E+00  2.92645E-01  1.78330E-03
  4.68785E+00  2.96045E-01 -1.20455E-04
  4.73693E+00  2.98216E-01 -1.31007E-03
  4.78602E+00  2.99137E-01 -1.83882E-03
  4.83511E+00  2.98957E-01 -1.83240E-03
  4.88419E+00  2.97957E-01 -1.44924E-03
  4.93328E+00  2.96496E-01 -8.34263E-04
  4.98237E+00  2.94944E-01 -9.32339E-05
  5.03146E+00  2.93643E-01  7.02830E-04
  5.08054E+00  2.92888E-01  1.50053E-03
  5.12963E+00  2.92933E-01  2.25558E-03
  5.17872E+00  2.94007E-01  2.93848E-03
  5.22781E+00  2.96307E-01  3.54559E-03
  5.27689E+00  2.99988E-01  4.10386E-03
  5.32598E+00  3.05138E-01  4.66224E-03
  5.37507E+00  3.11747E-01  5.26849E-03
  5.42416E+00  3.19691E-01  5.93846E-03
  5.47324E+00  3.28723E-01  6.63219E-03
  5.52233E+00  3.38482E-01  7.25007E-03
  5.57142E+00  3.48538E-01  7.65490E-03
  5.62051E+00  3.58459E-01  7.71804E-03
  5.66959E+00  3.67855E-01  7.37607E-03
  5.71868E+00  3.76378E-01  6.67192E-03
  5.76777E+00  3.83680E-01  5.76120E-03
  5.81686E+00  3.89375E-01  4.88900E-03
  5.86594E+00  3.93027E-01  4.34243E-03
  5.91503E+00  3.94201E-01  4.36701E-03
  5.96412E+00  3.92634E-01  5.06260E-03
  6.01320E+00  3.88478E-01  6.31289E-03
  6.06229E+00  3.82410E-01  7.78538E-03
  6.11138E+00  3.75470E-01  9.00699E-03
  6.16047E+00  3.68754E-01  9.50154E-03
  6.20955E+00  3.63226E-01  8.94209E-03
  6.25864E+00  3.59659E-01  7.25223E-03
  6.30773E+00  3.58562E-01  4.60931E-03
  6.35682E+00  3.60033E-01  1.35817E-03
  6.40590E+00  3.63773E-01 -2.07334E-03
  6.45499E+00  3.69323E-01 -5.19924E-03
  6.50408E+00  3.76315E-01 -7.55362E-03
  6.55317E+00  3.84524E-01 -8.90318E-03
  6.60225E+00  3.93761E-01 -9.40547E-03
  6.65134E+00  4.03691E-01 -9.48753E-03
  6.70043E+00  4.13628E-01 -9.52829E-03
  6.74952E+00  4.22452E-01 -9.64133E-03
  6.79860E+00  4.28900E-01 -9.69503E-03
  6.84769E+00  4.32170E-01 -9.46589E-03
  6.89678E+00  4.32191E-01 -8.83190E-03
  6.94587E+00  4.29232E-01 -7.95460E-03
  6.99495E+00  4.23419E-01 -7.24825E-03
  7.04404E+00  4.14919E-01 -7.01456E-03
  7.09313E+00  4.04644E-01 -7.12778E-03
  7.14221E+00  3.94646E-01 -7.30202E-03
  7.19130E+00  3.87495E-01 -7.72701E-03
  7.24039E+00  3.84841E-01 -9.23068E-03
  7.28948E+00  3.86342E-01 -1.26462E-02
  7.33856E+00  3.90225E-01 -1.80116E-02
  7.38765E+00  3.95541E-01 -2.43084E-02
  7.43674E+00  4.03908E-01 -3.00624E-02
  7.48583E+00  4.17849E-01 -3.48692E-02
  7.53491E+00  4.37277E-01 -3.99391E-02
  7.58400E+00  4.59135E-01 -4.52202E-02
  7.63309E+00  4.80072E-01 -4.69855E-02
  7.68218E+00  4.97120E-01 -4.16930E-02
  7.73126E+00  5.07101E-01 -3.10503E-02
  7.78035E+00  5.08991E-01 -2.02038E-02
  7.82944E+00  5.05915E-01 -1.30428E-02
  7.87853E+00  5.02586E-01 -1.06813E-02
  7.92761E+00  5.01453E-01 -1.23248E-02
  7.97670E+00  5.01888E-01 -1.62683E-02
  8.02579E+00  5.02174E-01 -2.03713E-02
  8.07487E+00  5.01348E-01 -2.27990E-02
  8.12396E+00  4.99334E-01 -2.29970E-02
  8.17305E+00  4.96267E-01 -2.15755E-02
  8.22214E+00  4.92333E-01 -1.93035E-02
  8.27122E+00  4.88272E-01 -1.66237E-02
  8.32031E+00  4.85660E-01 -1.39401E-02
  8.36940E+00  4.86003E-01 -1.19337E-02
  8.41849E+00  4.88900E-01 -1.13177E-02
  8.46757E+00  4.91341E-01 -1.20060E-02
  8.51666E+00  4.89681E-01 -1.24284E-02
  8.56575E+00  4.82885E-01 -1.00969E-02
  8.61484E+00  4.73939E-01 -3.53855E-03
  8.66392E+00  4.68385E-01  5.75773E-03
  8.71301E+00  4.71250E-01  1.28524E-02
  8.76210E+00  4.84485E-01  1.16943E-02
  8.81119E+00  5.06447E-01  1.16246E-03
  8.86027E+00  5.31111E-01 -1.19014E-02
  8.90936E+00  5.47107E-01 -2.17594E-02
  8.95845E+00  5.47354E-01 -3.10434E-02
  9.00754E+00  5.42602E-01 -4.11554E-02
  9.05662E+00  5.50068E-01 -4.62327E-02
  9.10571E+00  5.69118E-01 -4.33516E-02
  9.15480E+00  5.84661E-01 -3.64835E-02
  9.20388E+00  5.86998E-01 -2.87767E-02
  9.25297E+00  5.76679E-01 -2.09785E-02
  9.30206E+00  5.58614E-01 -1.43335E-02
  9.35115E+00  5.38031E-01 -1.05313E-02
  9.40023E+00  5.19390E-01 -1.02831E-02
  9.44932E+00  5.06057E-01 -1.29962E-02
  9.49841E+00  4.99981E-01 -1.71993E-02
  9.54750E+00  5.01533E-01 -2.11194E-02
  9.59658E+00  5.09790E-01 -2.33057E-02
  9.64567E+00  5.22944E-01 -2.30788E-02
  9.69476E+00  5.38158E-01 -2.08415E-02
  9.74385E+00  5.51604E-01 -1.82865E-02
  9.79293E+00  5.60250E-01 -1.77387E-02
  9.84202E+00  5.64600E-01 -2.03379E-02
  9.89111E+00  5.68718E-01 -2.44515E-02
  9.94020E+00  5.75509E-01 -2.63612E-02
  9.98928E+00  5.82078E-01 -2.34813E-02
  1.00384E+01  5.82400E-01 -1.66911E-02
  1.00875E+01  5.73783E-01 -9.13221E-03
  1.01365E+01  5.57930E-01 -3.71032E-03
  1.01856E+01  5.37446E-01 -1.83689E-03
  1.02347E+01  5.14379E-01 -3.27060E-03
  1.02838E+01  4.91393E-01 -6.29674E-03
  1.03329E+01  4.71419E-01 -8.40737E-03
  1.03820E+01  4.54490E-01 -7.85411E-03
  1.04311E+01  4.36451E-01 -4.95398E-03
  1.04802E+01  4.13013E-01 -1.42838E-03
  1.05292E+01  3.84395E-01  1.41046E-03
  1.05783E+01  3.54898E-01  3.40772E-03
  1.06274E+01  3.29114E-01  5.01142E-03
  1.06765E+01  3.09404E-01  6.57691E-03
  1.07256E+01  2.95898E-01  8.14595E-03
  1.07747E+01  2.87624E-01  9.55593E-03
  1.08238E+01  2.83422E-01  1.06023E-02
  1.08729E+01  2.82314E-01  1.11503E-02
  1.09219E+01  2.83523E-01  1.11841E-02
  1.09710E+01  2.86403E-01  1.07888E-02
  1.10201E+01  2.90410E-01  1.00863E-02
  1.10692E+01  2.95119E-01  9.18167E-03
