 x/h, U+, V+
  2.45437E-02  2.93475E-01  8.21524E-03
  7.36311E-02  2.75868E-01  5.28889E-03
  1.22718E-01  2.49292E-01  2.54020E-03
  1.71806E-01  2.29325E-01  5.68879E-03
  2.20893E-01  2.23098E-01  1.88787E-02
  2.69981E-01  2.25761E-01  4.02589E-02
  3.19068E-01  2.31991E-01  6.28330E-02
  3.68155E-01  2.40947E-01  7.91717E-02
  4.17243E-01  2.53178E-01  8.61929E-02
  4.66330E-01  2.68873E-01  8.55418E-02
  5.15418E-01  2.89627E-01  8.09410E-02
  5.64505E-01  3.17697E-01  7.60296E-02
  6.13592E-01  3.50658E-01  7.21220E-02
  6.62680E-01  3.81341E-01  6.71983E-02
  7.11767E-01  4.05192E-01  5.86546E-02
  7.60854E-01  4.23329E-01  4.65823E-02
  8.09942E-01  4.37861E-01  3.37430E-02
  8.59029E-01  4.48092E-01  2.30913E-02
  9.08117E-01  4.52454E-01  1.58175E-02
  9.57204E-01  4.52040E-01  1.13651E-02
  1.00629E+00  4.50701E-01  8.61996E-03
  1.05538E+00  4.52146E-01  6.86685E-03
  1.10447E+00  4.57489E-01  5.65594E-03
  1.15355E+00  4.65402E-01  4.17561E-03
  1.20264E+00  4.73938E-01  1.46110E-03
  1.25173E+00  4.82405E-01 -2.66396E-03
  1.30082E+00  4.92751E-01 -6.83019E-03
  1.34990E+00  5.04702E-01 -8.60396E-03
  1.39899E+00  5.04107E-01 -7.58907E-03
  1.44808E+00  4.69379E-01 -6.59658E-03
  1.49717E+00  4.00310E-01 -6.61374E-03
  1.54625E+00  3.25433E-01 -4.24331E-03
  1.59534E+00  2.74019E-01  3.70431E-03
  1.64443E+00  2.53240E-01  1.62703E-02
  1.69351E+00  2.53810E-01  2.99722E-02
  1.74260E+00  2.64903E-01  4.18913E-02
  1.79169E+00  2.80000E-01  5.06665E-02
  1.84078E+00  2.96076E-01  5.61128E-02
  1.88986E+00  3.12027E-01  5.86525E-02
  1.93895E+00  3.27769E-01  5.89151E-02
  1.98804E+00  3.43616E-01  5.74887E-02
  2.03713E+00  3.59709E-01  5.47675E-02
  2.08621E+00  3.75614E-01  5.09351E-02
  2.13530E+00  3.90208E-01  4.60546E-02
  2.18439E+00  4.01946E-01  4.00958E-02
  2.23348E+00  4.09444E-01  3.29412E-02
  2.28256E+00  4.12027E-01  2.45995E-02
  2.33165E+00  4.09929E-01  1.55375E-02
  2.38074E+00  4.04260E-01  6.73742E-03
