 x/h, U+, V+
  2.45437E-02  4.18254E-01  2.58967E-02
  7.36311E-02  4.08635E-01  2.59758E-02
  1.22718E-01  4.11137E-01  2.20097E-02
  1.71806E-01  4.30045E-01  1.67613E-02
  2.20893E-01  4.56237E-01  1.24005E-02
  2.69981E-01  4.73756E-01  8.07941E-03
  3.19068E-01  4.74115E-01  2.75047E-03
  3.68155E-01  4.61207E-01 -2.74822E-03
  4.17243E-01  4.44737E-01 -6.97139E-03
  4.66330E-01  4.32280E-01 -9.22012E-03
  5.15418E-01  4.26079E-01 -9.42540E-03
  5.64505E-01  4.24337E-01 -7.99508E-03
  6.13592E-01  4.24260E-01 -5.94689E-03
  6.62680E-01  4.24279E-01 -4.43755E-03
  7.11767E-01  4.24371E-01 -4.06128E-03
  7.60854E-01  4.25197E-01 -4.73066E-03
  8.09942E-01  4.27266E-01 -6.06661E-03
  8.59029E-01  4.30666E-01 -7.77621E-03
  9.08117E-01  4.35194E-01 -9.72638E-03
  9.57204E-01  4.40534E-01 -1.18406E-02
  1.00629E+00  4.46308E-01 -1.41152E-02
  1.05538E+00  4.52071E-01 -1.67635E-02
  1.10447E+00  4.57468E-01 -2.01211E-02
  1.15355E+00  4.62675E-01 -2.40894E-02
  1.20264E+00  4.68731E-01 -2.75701E-02
  1.25173E+00  4.76996E-01 -2.87815E-02
  1.30082E+00  4.87721E-01 -2.66025E-02
  1.34990E+00  4.99301E-01 -2.16346E-02
  1.39899E+00  5.09399E-01 -1.58114E-02
  1.44808E+00  5.16831E-01 -1.11484E-02
  1.49717E+00  5.22303E-01 -8.79544E-03
  1.54625E+00  5.27668E-01 -8.75727E-03
  1.59534E+00  5.34711E-01 -1.01238E-02
  1.64443E+00  5.44263E-01 -1.16566E-02
  1.69351E+00  5.55730E-01 -1.25429E-02
  1.74260E+00  5.67213E-01 -1.28560E-02
  1.79169E+00  5.76496E-01 -1.32930E-02
  1.84078E+00  5.82481E-01 -1.44407E-02
  1.88986E+00  5.86014E-01 -1.63326E-02
  1.93895E+00  5.89528E-01 -1.86003E-02
  1.98804E+00  5.95740E-01 -2.08231E-02
  2.03713E+00  6.06251E-01 -2.27211E-02
  2.08621E+00  6.20928E-01 -2.41824E-02
  2.13530E+00  6.38345E-01 -2.50495E-02
  2.18439E+00  6.56471E-01 -2.47617E-02
  2.23348E+00  6.72761E-01 -2.26195E-02
  2.28256E+00  6.84298E-01 -1.88878E-02
  2.33165E+00  6.89214E-01 -1.52563E-02
  2.38074E+00  6.88412E-01 -1.36156E-02
  2.42983E+00  6.85121E-01 -1.44095E-02
  2.47891E+00  6.82033E-01 -1.62930E-02
  2.52800E+00  6.78947E-01 -1.73949E-02
  2.57709E+00  6.73636E-01 -1.69248E-02
  2.62618E+00  6.64964E-01 -1.55655E-02
  2.67526E+00  6.54560E-01 -1.46063E-02
  2.72435E+00  6.45394E-01 -1.49907E-02
  2.77344E+00  6.39605E-01 -1.68422E-02
  2.82252E+00  6.37728E-01 -1.90982E-02
  2.87161E+00  6.38344E-01 -1.95801E-02
  2.92070E+00  6.37730E-01 -1.67873E-02
  2.96979E+00  6.32010E-01 -1.20214E-02
  3.01887E+00  6.21234E-01 -8.20338E-03
  3.06796E+00  6.09970E-01 -6.28598E-03
  3.11705E+00  6.02583E-01 -4.52374E-03
  3.16614E+00  5.99363E-01 -1.73803E-03
  3.21522E+00  5.98589E-01  6.03711E-04
  3.26431E+00  6.00241E-01  1.52465E-04
  3.31340E+00  6.04662E-01 -3.60894E-03
  3.36249E+00  6.09099E-01 -1.00263E-02
  3.41157E+00  6.10731E-01 -1.93946E-02
  3.46066E+00  6.13439E-01 -2.96141E-02
  3.50975E+00  6.24898E-01 -3.40066E-02
  3.55884E+00  6.44974E-01 -2.96891E-02
  3.60792E+00  6.64197E-01 -2.36429E-02
  3.65701E+00  6.75148E-01 -2.32116E-02
  3.70610E+00  6.78011E-01 -2.58175E-02
  3.75518E+00  6.75169E-01 -2.50445E-02
  3.80427E+00  6.67621E-01 -2.18437E-02
  3.85336E+00  6.58054E-01 -2.20858E-02
  3.90245E+00  6.52990E-01 -2.66151E-02
  3.95153E+00  6.58596E-01 -2.91072E-02
  4.00062E+00  6.73062E-01 -2.44166E-02
  4.04971E+00  6.84514E-01 -1.52911E-02
  4.09880E+00  6.80199E-01 -7.74476E-03
  4.14788E+00  6.57363E-01 -4.05242E-03
  4.19697E+00  6.23694E-01 -2.44788E-03
  4.24606E+00  5.89918E-01 -7.86114E-04
  4.29515E+00  5.63246E-01  1.02085E-03
  4.34423E+00  5.45722E-01  1.87622E-03
  4.39332E+00  5.35981E-01  1.42063E-03
  4.44241E+00  5.31071E-01  6.21815E-04
  4.49150E+00  5.27438E-01  1.04075E-03
  4.54058E+00  5.21998E-01  3.45312E-03
  4.58967E+00  5.13284E-01  7.00457E-03
  4.63876E+00  5.01581E-01  1.00246E-02
  4.68785E+00  4.87489E-01  1.14528E-02
  4.73693E+00  4.70008E-01  1.11411E-02
  4.78602E+00  4.46648E-01  9.28066E-03
  4.83511E+00  4.16527E-01  6.24807E-03
  4.88419E+00  3.83128E-01  2.91789E-03
  4.93328E+00  3.52869E-01  4.01900E-04
  4.98237E+00  3.30910E-01 -7.85750E-04
  5.03146E+00  3.18669E-01 -1.02721E-03
  5.08054E+00  3.14500E-01 -1.08573E-03
  5.12963E+00  3.15589E-01 -1.50891E-03
  5.17872E+00  3.19357E-01 -2.39934E-03
  5.22781E+00  3.24083E-01 -3.46759E-03
  5.27689E+00  3.28942E-01 -4.25669E-03
  5.32598E+00  3.33705E-01 -4.45760E-03
  5.37507E+00  3.38373E-01 -4.09091E-03
  5.42416E+00  3.42918E-01 -3.41719E-03
  5.47324E+00  3.47197E-01 -2.73837E-03
  5.52233E+00  3.51030E-01 -2.27881E-03
  5.57142E+00  3.54333E-01 -2.13669E-03
  5.62051E+00  3.57139E-01 -2.25995E-03
  5.66959E+00  3.59536E-01 -2.47754E-03
  5.71868E+00  3.61575E-01 -2.59112E-03
  5.76777E+00  3.63234E-01 -2.46890E-03
  5.81686E+00  3.64425E-01 -2.09059E-03
  5.86594E+00  3.65012E-01 -1.53963E-03
  5.91503E+00  3.64856E-01 -9.69485E-04
  5.96412E+00  3.63913E-01 -5.68595E-04
  6.01320E+00  3.62347E-01 -5.28002E-04
  6.06229E+00  3.60617E-01 -1.00766E-03
  6.11138E+00  3.59430E-01 -2.11380E-03
  6.16047E+00  3.59574E-01 -3.90485E-03
  6.20955E+00  3.61761E-01 -6.41184E-03
  6.25864E+00  3.66600E-01 -9.62172E-03
  6.30773E+00  3.74647E-01 -1.33928E-02
  6.35682E+00  3.86327E-01 -1.73630E-02
  6.40590E+00  4.01584E-01 -2.09778E-02
  6.45499E+00  4.19500E-01 -2.36880E-02
  6.50408E+00  4.38284E-01 -2.51908E-02
  6.55317E+00  4.55851E-01 -2.55131E-02
  6.60225E+00  4.70579E-01 -2.48795E-02
  6.65134E+00  4.81769E-01 -2.35442E-02
  6.70043E+00  4.89660E-01 -2.17845E-02
  6.74952E+00  4.95134E-01 -1.99640E-02
  6.79860E+00  4.99221E-01 -1.84517E-02
  6.84769E+00  5.02710E-01 -1.74289E-02
  6.89678E+00  5.06150E-01 -1.68072E-02
  6.94587E+00  5.10032E-01 -1.63022E-02
  6.99495E+00  5.14514E-01 -1.55482E-02
  7.04404E+00  5.18725E-01 -1.42579E-02
  7.09313E+00  5.20623E-01 -1.24490E-02
  7.14221E+00  5.17892E-01 -1.05091E-02
  7.19130E+00  5.09148E-01 -8.87928E-03
  7.24039E+00  4.94762E-01 -7.57488E-03
  7.28948E+00  4.77105E-01 -6.11908E-03
  7.33856E+00  4.59796E-01 -4.20027E-03
  7.38765E+00  4.45984E-01 -2.24412E-03
  7.43674E+00  4.36976E-01 -8.75715E-04
  7.48583E+00  4.32124E-01 -1.09467E-04
  7.53491E+00  4.29656E-01  2.75568E-04
  7.58400E+00  4.27746E-01 -1.84031E-04
  7.63309E+00  4.25375E-01 -2.32097E-03
  7.68218E+00  4.22815E-01 -5.73519E-03
  7.73126E+00  4.21403E-01 -8.13238E-03
  7.78035E+00  4.22211E-01 -7.19914E-03
  7.82944E+00  4.24522E-01 -2.95939E-03
  7.87853E+00  4.26158E-01  2.35511E-03
  7.92761E+00  4.25537E-01  6.22185E-03
  7.97670E+00  4.23179E-01  7.11118E-03
  8.02579E+00  4.21417E-01  4.83620E-03
  8.07487E+00  4.22889E-01  7.80616E-04
  8.12396E+00  4.28995E-01 -2.61780E-03
  8.17305E+00  4.39213E-01 -3.60246E-03
  8.22214E+00  4.51609E-01 -2.10472E-03
  8.27122E+00  4.64253E-01  9.75917E-04
  8.32031E+00  4.76425E-01  4.76007E-03
  8.36940E+00  4.88411E-01  8.66660E-03
  8.41849E+00  5.00273E-01  1.22097E-02
  8.46757E+00  5.11062E-01  1.49120E-02
  8.51666E+00  5.19166E-01  1.63949E-02
  8.56575E+00  5.23359E-01  1.63452E-02
  8.61484E+00  5.23790E-01  1.45319E-02
  8.66392E+00  5.22033E-01  1.10854E-02
  8.71301E+00  5.20015E-01  6.67805E-03
  8.76210E+00  5.18784E-01  2.28666E-03
  8.81119E+00  5.18349E-01 -1.26016E-03
  8.86027E+00  5.18402E-01 -3.60742E-03
  8.90936E+00  5.18742E-01 -4.90325E-03
  8.95845E+00  5.19006E-01 -5.58876E-03
  9.00754E+00  5.18560E-01 -6.14294E-03
  9.05662E+00  5.16853E-01 -6.76644E-03
  9.10571E+00  5.13739E-01 -7.12021E-03
  9.15480E+00  5.09597E-01 -6.55978E-03
  9.20388E+00  5.05330E-01 -4.74461E-03
  9.25297E+00  5.02104E-01 -1.99874E-03
  9.30206E+00  5.00836E-01  9.29728E-04
  9.35115E+00  5.01774E-01  3.41187E-03
  9.40023E+00  5.04437E-01  5.17509E-03
  9.44932E+00  5.07994E-01  6.06025E-03
  9.49841E+00  5.11846E-01  5.70974E-03
  9.54750E+00  5.15952E-01  3.70272E-03
  9.59658E+00  5.20623E-01  1.08073E-04
  9.64567E+00  5.26055E-01 -4.25326E-03
  9.69476E+00  5.32180E-01 -8.28583E-03
  9.74385E+00  5.38698E-01 -1.13714E-02
  9.79293E+00  5.44847E-01 -1.37722E-02
  9.84202E+00  5.49767E-01 -1.61727E-02
  9.89111E+00  5.53791E-01 -1.83893E-02
  9.94020E+00  5.57819E-01 -1.92487E-02
  9.98928E+00  5.60779E-01 -1.85974E-02
  1.00384E+01  5.61057E-01 -1.77719E-02
  1.00875E+01  5.60992E-01 -1.71676E-02
  1.01365E+01  5.64433E-01 -1.60109E-02
  1.01856E+01  5.68535E-01 -1.50681E-02
  1.02347E+01  5.63827E-01 -1.66917E-02
  1.02838E+01  5.44954E-01 -2.22866E-02
  1.03329E+01  5.18099E-01 -3.12861E-02
  1.03820E+01  4.94783E-01 -4.16701E-02
  1.04311E+01  4.81871E-01 -4.97454E-02
  1.04802E+01  4.87375E-01 -4.83006E-02
  1.05292E+01  5.19811E-01 -2.98439E-02
  1.05783E+01  5.60065E-01 -8.70177E-04
  1.06274E+01  5.72781E-01  2.25547E-02
  1.06765E+01  5.51101E-01  3.40177E-02
  1.07256E+01  5.14956E-01  3.68317E-02
  1.07747E+01  4.83831E-01  3.53380E-02
  1.08238E+01  4.68311E-01  3.24677E-02
  1.08729E+01  4.74750E-01  3.11144E-02
  1.09219E+01  5.01116E-01  3.13940E-02
  1.09710E+01  5.37712E-01  2.43334E-02
  1.10201E+01  5.82346E-01 -1.99237E-03
  1.10692E+01  6.27488E-01 -4.22828E-02
  1.11183E+01  6.58382E-01 -7.47673E-02
  1.11674E+01  6.76550E-01 -7.54792E-02
  1.12165E+01  6.83642E-01 -4.90271E-02
  1.12656E+01  6.77840E-01 -2.06559E-02
  1.13146E+01  6.66278E-01 -2.00682E-03
  1.13637E+01  6.51294E-01  6.94861E-03
  1.14128E+01  6.26417E-01  8.16360E-03
  1.14619E+01  5.86890E-01  3.36807E-03
  1.15110E+01  5.36309E-01 -5.23656E-03
  1.15601E+01  4.85248E-01 -1.45236E-02
  1.16092E+01  4.44150E-01 -2.13487E-02
  1.16583E+01  4.16531E-01 -2.40566E-02
  1.17073E+01  3.98959E-01 -2.28098E-02
  1.17564E+01  3.86038E-01 -1.87165E-02
  1.18055E+01  3.74000E-01 -1.31419E-02
  1.18546E+01  3.61324E-01 -7.44167E-03
  1.19037E+01  3.48173E-01 -2.63676E-03
  1.19528E+01  3.35672E-01  8.80754E-04
  1.20019E+01  3.25275E-01  3.31069E-03
  1.20510E+01  3.18397E-01  5.12179E-03
  1.21000E+01  3.16309E-01  6.78206E-03
  1.21491E+01  3.20074E-01  8.76745E-03
  1.21982E+01  3.30301E-01  1.16128E-02
  1.22473E+01  3.46646E-01  1.55398E-02
  1.22964E+01  3.67354E-01  1.97478E-02
  1.23455E+01  3.89458E-01  2.23723E-02
  1.23946E+01  4.09738E-01  2.20893E-02
  1.24437E+01  4.25127E-01  2.02067E-02
  1.24927E+01  4.32269E-01  1.99354E-02
  1.25418E+01  2.16663E-01  2.26382E-02
