 x/h, U+, V+
  2.45437E-02  4.43929E-01  2.20217E-02
  7.36311E-02  4.45461E-01  1.07409E-02
  1.22718E-01  4.32271E-01 -1.21905E-03
  1.71806E-01  3.98261E-01 -1.38558E-02
  2.20893E-01  3.55860E-01 -2.57585E-02
  2.69981E-01  3.29736E-01 -3.16817E-02
  3.19068E-01  3.30900E-01 -2.60417E-02
  3.68155E-01  3.46607E-01 -9.54811E-03
  4.17243E-01  3.60148E-01  9.84664E-03
  4.66330E-01  3.67901E-01  2.27892E-02
  5.15418E-01  3.74529E-01  2.43683E-02
  5.64505E-01  3.83723E-01  1.58566E-02
  6.13592E-01  3.96395E-01  2.16054E-03
  6.62680E-01  4.12283E-01 -1.22090E-02
  7.11767E-01  4.30753E-01 -2.49473E-02
  7.60854E-01  4.50911E-01 -3.46355E-02
  8.09942E-01  4.71677E-01 -3.85116E-02
  8.59029E-01  4.91163E-01 -3.35347E-02
  9.08117E-01  5.06511E-01 -2.09276E-02
  9.57204E-01  5.16048E-01 -6.60168E-03
  1.00629E+00  5.20510E-01  3.45731E-03
  1.05538E+00  5.20605E-01  6.07907E-03
  1.10447E+00  5.15102E-01  1.61523E-03
  1.15355E+00  5.03029E-01 -5.56219E-03
  1.20264E+00  4.86737E-01 -9.49131E-03
  1.25173E+00  4.71396E-01 -8.24734E-03
  1.30082E+00  4.61240E-01 -4.66760E-03
  1.34990E+00  4.55991E-01 -1.56704E-03
  1.39899E+00  4.51386E-01  8.79620E-04
  1.44808E+00  4.43042E-01  4.31978E-03
  1.49717E+00  4.29042E-01  1.02710E-02
  1.54625E+00  4.10321E-01  1.83225E-02
  1.59534E+00  3.90690E-01  2.57000E-02
  1.64443E+00  3.75935E-01  2.88733E-02
  1.69351E+00  3.70911E-01  2.61932E-02
  1.74260E+00  3.76688E-01  1.91145E-02
  1.79169E+00  3.90672E-01  1.07494E-02
  1.84078E+00  4.08988E-01  3.64027E-03
  1.88986E+00  4.28331E-01 -1.14211E-03
  1.93895E+00  4.46509E-01 -3.70530E-03
  1.98804E+00  4.62536E-01 -4.70863E-03
  2.03713E+00  4.76636E-01 -4.88907E-03
  2.08621E+00  4.90033E-01 -4.82843E-03
  2.13530E+00  5.04415E-01 -4.79904E-03
  2.18439E+00  5.20961E-01 -4.70150E-03
  2.23348E+00  5.39206E-01 -4.29223E-03
  2.28256E+00  5.56716E-01 -3.61793E-03
  2.33165E+00  5.70226E-01 -3.27532E-03
  2.38074E+00  5.77691E-01 -4.22024E-03
  2.42983E+00  5.79736E-01 -7.17230E-03
  2.47891E+00  5.79436E-01 -1.19408E-02
  2.52800E+00  5.80486E-01 -1.72020E-02
  2.57709E+00  5.85009E-01 -2.13289E-02
  2.62618E+00  5.92947E-01 -2.39020E-02
  2.67526E+00  6.03681E-01 -2.57333E-02
  2.72435E+00  6.16903E-01 -2.66345E-02
  2.77344E+00  6.29915E-01 -2.45277E-02
  2.82252E+00  6.36259E-01 -1.82404E-02
  2.87161E+00  6.31373E-01 -9.52760E-03
  2.92070E+00  6.17921E-01 -1.33328E-03
  2.96979E+00  6.02940E-01  4.28519E-03
  3.01887E+00  5.92091E-01  6.62826E-03
  3.06796E+00  5.87503E-01  6.10604E-03
  3.11705E+00  5.88687E-01  3.80807E-03
  3.16614E+00  5.94119E-01  9.72851E-04
  3.21522E+00  6.02268E-01 -1.44671E-03
  3.26431E+00  6.11634E-01 -2.89892E-03
  3.31340E+00  6.20007E-01 -3.14949E-03
  3.36249E+00  6.24244E-01 -2.29293E-03
  3.41157E+00  6.21637E-01 -7.62759E-04
  3.46066E+00  6.11917E-01  8.90861E-04
  3.50975E+00  5.97786E-01  2.25493E-03
  3.55884E+00  5.83349E-01  3.08173E-03
  3.60792E+00  5.71801E-01  3.24893E-03
  3.65701E+00  5.64063E-01  2.86763E-03
  3.70610E+00  5.59085E-01  2.32888E-03
  3.75518E+00  5.55411E-01  2.04985E-03
  3.80427E+00  5.52388E-01  2.15037E-03
  3.85336E+00  5.49427E-01  2.34410E-03
  3.90245E+00  5.44911E-01  2.06042E-03
  3.95153E+00  5.38700E-01  6.06992E-04
  4.00062E+00  5.36099E-01 -2.84480E-03
  4.04971E+00  5.43400E-01 -9.34580E-03
  4.09880E+00  5.55561E-01 -1.93453E-02
  4.14788E+00  5.54755E-01 -3.07208E-02
  4.19697E+00  5.28019E-01 -3.94588E-02
  4.24606E+00  4.83089E-01 -4.39587E-02
  4.29515E+00  4.40444E-01 -4.62196E-02
  4.34423E+00  4.13617E-01 -4.83535E-02
  4.39332E+00  4.03363E-01 -5.04435E-02
  4.44241E+00  4.06042E-01 -5.16719E-02
  4.49150E+00  4.19998E-01 -5.10762E-02
  4.54058E+00  4.40668E-01 -4.78662E-02
  4.58967E+00  4.58665E-01 -4.12289E-02
  4.63876E+00  4.72627E-01 -2.85270E-02
  4.68785E+00  4.89745E-01 -9.46617E-03
  4.73693E+00  5.08618E-01  8.83724E-03
  4.78602E+00  5.19520E-01  1.89172E-02
  4.83511E+00  5.17441E-01  1.99333E-02
  4.88419E+00  5.02716E-01  1.56293E-02
  4.93328E+00  4.75717E-01  1.00977E-02
