 x/h, U+, V+
  2.45437E-02  5.66250E-01 -2.00148E-02
  7.36311E-02  5.72022E-01 -2.46582E-02
  1.22718E-01  5.82135E-01 -3.23120E-02
  1.71806E-01  5.96134E-01 -3.94916E-02
  2.20893E-01  6.10815E-01 -4.37014E-02
  2.69981E-01  6.22170E-01 -4.42956E-02
  3.19068E-01  6.27429E-01 -4.10171E-02
  3.68155E-01  6.25905E-01 -3.36359E-02
  4.17243E-01  6.19042E-01 -2.31637E-02
  4.66330E-01  6.10047E-01 -1.16759E-02
  5.15418E-01  6.02486E-01 -1.01996E-03
  5.64505E-01  5.97852E-01  7.33272E-03
  6.13592E-01  5.94372E-01  1.24359E-02
  6.62680E-01  5.88983E-01  1.51306E-02
  7.11767E-01  5.80784E-01  1.79565E-02
  7.60854E-01  5.72428E-01  2.21664E-02
  8.09942E-01  5.68265E-01  2.53032E-02
  8.59029E-01  5.71011E-01  2.31977E-02
  9.08117E-01  5.79613E-01  1.42188E-02
  9.57204E-01  5.90673E-01  6.86185E-04
  1.00629E+00  6.02748E-01 -1.33295E-02
  1.05538E+00  6.17978E-01 -2.39407E-02
  1.10447E+00  6.36669E-01 -2.74512E-02
  1.15355E+00  6.52802E-01 -2.15221E-02
  1.20264E+00  6.59442E-01 -8.13131E-03
  1.25173E+00  6.54614E-01  6.12920E-03
  1.30082E+00  6.39873E-01  1.46443E-02
  1.34990E+00  6.18152E-01  1.51851E-02
  1.39899E+00  5.92950E-01  1.00377E-02
  1.44808E+00  5.64189E-01  3.58296E-03
  1.49717E+00  5.23670E-01 -1.39820E-03
  1.54625E+00  4.63005E-01 -5.45849E-03
  1.59534E+00  3.89129E-01 -8.48585E-03
  1.64443E+00  3.22072E-01 -7.45319E-03
  1.69351E+00  2.75740E-01 -1.24767E-03
  1.74260E+00  2.49698E-01  7.05391E-03
  1.79169E+00  2.37413E-01  1.40626E-02
  1.84078E+00  2.33743E-01  1.86851E-02
  1.88986E+00  2.35644E-01  2.14868E-02
  1.93895E+00  2.40889E-01  2.33317E-02
  1.98804E+00  2.47480E-01  2.45744E-02
  2.03713E+00  2.53753E-01  2.49899E-02
  2.08621E+00  2.58681E-01  2.42238E-02
  2.13530E+00  2.62014E-01  2.23085E-02
  2.18439E+00  2.64088E-01  1.98593E-02
  2.23348E+00  2.65311E-01  1.78477E-02
  2.28256E+00  2.65673E-01  1.69602E-02
  2.33165E+00  2.64999E-01  1.68850E-02
  2.38074E+00  2.63823E-01  1.65276E-02
  2.42983E+00  2.63556E-01  1.52978E-02
  2.47891E+00  2.65281E-01  1.38359E-02
  2.52800E+00  2.68543E-01  1.30999E-02
  2.57709E+00  2.71662E-01  1.31394E-02
  2.62618E+00  2.73013E-01  1.31430E-02
  2.67526E+00  2.71767E-01  1.23583E-02
  2.72435E+00  2.67677E-01  1.07079E-02
  2.77344E+00  2.60610E-01  8.72308E-03
  2.82252E+00  2.50568E-01  7.13953E-03
  2.87161E+00  2.38137E-01  6.57036E-03
  2.92070E+00  2.24720E-01  7.35621E-03
  2.96979E+00  2.12144E-01  9.48429E-03
  3.01887E+00  2.01974E-01  1.25965E-02
  3.06796E+00  1.95072E-01  1.61663E-02
  3.11705E+00  1.91534E-01  1.97288E-02
  3.16614E+00  1.90898E-01  2.29609E-02
  3.21522E+00  1.92449E-01  2.56202E-02
  3.26431E+00  1.95524E-01  2.75307E-02
  3.31340E+00  1.99669E-01  2.86738E-02
  3.36249E+00  2.04630E-01  2.92440E-02
  3.41157E+00  2.10240E-01  2.95674E-02
  3.46066E+00  2.16365E-01  2.99371E-02
  3.50975E+00  2.23006E-01  3.05117E-02
  3.55884E+00  2.30458E-01  3.13506E-02
  3.60792E+00  2.39159E-01  3.24640E-02
  3.65701E+00  2.49176E-01  3.37128E-02
  3.70610E+00  2.59719E-01  3.46752E-02
  3.75518E+00  2.69086E-01  3.47615E-02
  3.80427E+00  2.74895E-01  3.34993E-02
  3.85336E+00  2.74800E-01  3.05695E-02
  3.90245E+00  2.68400E-01  2.56943E-02
  3.95153E+00  2.59517E-01  1.90697E-02
  4.00062E+00  2.55673E-01  1.21138E-02
  4.04971E+00  2.63342E-01  7.02574E-03
  4.09880E+00  2.83225E-01  4.96766E-03
  4.14788E+00  3.10722E-01  5.14795E-03
  4.19697E+00  3.40163E-01  5.86266E-03
  4.24606E+00  3.67884E-01  5.85606E-03
  4.29515E+00  3.92581E-01  4.79271E-03
  4.34423E+00  4.14160E-01  3.14605E-03
  4.39332E+00  4.32205E-01  1.92827E-03
  4.44241E+00  4.45040E-01  2.09059E-03
  4.49150E+00  4.50508E-01  3.77642E-03
  4.54058E+00  4.48072E-01  6.26708E-03
  4.58967E+00  4.39986E-01  8.52593E-03
  4.63876E+00  4.30251E-01  9.53867E-03
  4.68785E+00  4.22522E-01  8.60999E-03
  4.73693E+00  4.18341E-01  5.92592E-03
  4.78602E+00  4.16182E-01  2.77920E-03
  4.83511E+00  4.12438E-01  9.60416E-04
  4.88419E+00  4.04996E-01  1.63788E-03
  4.93328E+00  3.95889E-01  4.65014E-03
  4.98237E+00  3.89257E-01  8.77082E-03
  5.03146E+00  3.87631E-01  1.25527E-02
  5.08054E+00  3.91055E-01  1.49514E-02
  5.12963E+00  3.98424E-01  1.54730E-02
  5.17872E+00  4.08545E-01  1.42092E-02
  5.22781E+00  4.20284E-01  1.18412E-02
  5.27689E+00  4.32331E-01  9.31773E-03
  5.32598E+00  4.43276E-01  7.33940E-03
  5.37507E+00  4.52016E-01  6.13833E-03
  5.42416E+00  4.58068E-01  5.64201E-03
  5.47324E+00  4.61452E-01  5.70356E-03
  5.52233E+00  4.62293E-01  6.17904E-03
  5.57142E+00  4.60584E-01  6.87664E-03
  5.62051E+00  4.56285E-01  7.51353E-03
  5.66959E+00  4.49597E-01  7.78997E-03
  5.71868E+00  4.41066E-01  7.54759E-03
  5.76777E+00  4.31434E-01  6.84863E-03
  5.81686E+00  4.21419E-01  5.88391E-03
  5.86594E+00  4.11582E-01  4.80896E-03
  5.91503E+00  4.02361E-01  3.66321E-03
  5.96412E+00  3.94194E-01  2.43608E-03
  6.01320E+00  3.87595E-01  1.21997E-03
  6.06229E+00  3.83016E-01  2.77090E-04
  6.11138E+00  3.80532E-01 -1.38384E-04
  6.16047E+00  3.79671E-01 -9.42466E-05
  6.20955E+00  3.79690E-01 -5.07723E-05
  6.25864E+00  3.80080E-01 -5.07453E-04
  6.30773E+00  3.80856E-01 -1.56161E-03
  6.35682E+00  3.82478E-01 -2.83466E-03
  6.40590E+00  3.85672E-01 -3.80285E-03
  6.45499E+00  3.91233E-01 -4.14909E-03
  6.50408E+00  3.99369E-01 -3.79362E-03
  6.55317E+00  4.08293E-01 -2.69519E-03
  6.60225E+00  4.13741E-01 -7.38051E-04
  6.65134E+00  4.11994E-01  2.32428E-03
  6.70043E+00  4.04263E-01  6.98457E-03
  6.74952E+00  3.96262E-01  1.36751E-02
  6.79860E+00  3.92953E-01  2.19063E-02
  6.84769E+00  3.95150E-01  2.99897E-02
  6.89678E+00  4.00760E-01  3.60131E-02
  6.94587E+00  4.07369E-01  3.90088E-02
  6.99495E+00  4.13542E-01  3.91540E-02
  7.04404E+00  4.18907E-01  3.72280E-02
  7.09313E+00  4.23774E-01  3.40698E-02
  7.14221E+00  4.28929E-01  3.00125E-02
  7.19130E+00  4.35643E-01  2.45588E-02
  7.24039E+00  4.45281E-01  1.73080E-02
  7.28948E+00  4.58290E-01  9.44504E-03
  7.33856E+00  4.73337E-01  3.42060E-03
  7.38765E+00  4.87610E-01  8.95558E-04
  7.43674E+00  4.98320E-01  1.74851E-03
  7.48583E+00  5.04182E-01  4.73425E-03
  7.53491E+00  5.05625E-01  8.38401E-03
