 x/h, U+, V+
  2.45437E-02  5.87354E-01 -1.01108E-02
  7.36311E-02  5.87847E-01 -1.14972E-02
  1.22718E-01  5.89927E-01 -1.24984E-02
  1.71806E-01  5.93241E-01 -1.31309E-02
  2.20893E-01  5.97415E-01 -1.38495E-02
  2.69981E-01  6.02672E-01 -1.50622E-02
  3.19068E-01  6.09880E-01 -1.64342E-02
  3.68155E-01  6.19542E-01 -1.66857E-02
  4.17243E-01  6.30286E-01 -1.44801E-02
  4.66330E-01  6.38615E-01 -9.81901E-03
  5.15418E-01  6.40855E-01 -4.30982E-03
  5.64505E-01  6.35463E-01  5.58392E-05
  6.13592E-01  6.23559E-01  2.15294E-03
  6.62680E-01  6.07869E-01  1.99803E-03
  7.11767E-01  5.91351E-01  3.54503E-04
  7.60854E-01  5.76055E-01 -1.78635E-03
  8.09942E-01  5.62340E-01 -3.65376E-03
  8.59029E-01  5.48870E-01 -4.95690E-03
  9.08117E-01  5.33747E-01 -5.77089E-03
  9.57204E-01  5.16095E-01 -6.13774E-03
  1.00629E+00  4.96688E-01 -5.86690E-03
  1.05538E+00  4.77343E-01 -4.77981E-03
  1.10447E+00  4.60002E-01 -3.02038E-03
  1.15355E+00  4.46181E-01 -1.03809E-03
  1.20264E+00  4.36703E-01  6.60317E-04
  1.25173E+00  4.31612E-01  1.70969E-03
  1.30082E+00  4.30274E-01  1.94729E-03
  1.34990E+00  4.31669E-01  1.39415E-03
  1.39899E+00  4.34693E-01  2.02565E-04
  1.44808E+00  4.38411E-01 -1.41102E-03
  1.49717E+00  4.42208E-01 -3.20928E-03
  1.54625E+00  4.45826E-01 -4.93091E-03
  1.59534E+00  4.49283E-01 -6.28767E-03
  1.64443E+00  4.52712E-01 -7.02603E-03
  1.69351E+00  4.56201E-01 -7.03948E-03
  1.74260E+00  4.59735E-01 -6.44299E-03
  1.79169E+00  4.63228E-01 -5.53790E-03
  1.84078E+00  4.66606E-01 -4.68168E-03
  1.88986E+00  4.69856E-01 -4.14654E-03
  1.93895E+00  4.73032E-01 -4.04439E-03
  1.98804E+00  4.76237E-01 -4.33101E-03
  2.03713E+00  4.79599E-01 -4.85582E-03
  2.08621E+00  4.83243E-01 -5.42935E-03
  2.13530E+00  4.87270E-01 -5.89675E-03
  2.18439E+00  4.91731E-01 -6.19450E-03
  2.23348E+00  4.96632E-01 -6.35792E-03
  2.28256E+00  5.01921E-01 -6.47336E-03
  2.33165E+00  5.07468E-01 -6.60748E-03
  2.38074E+00  5.13021E-01 -6.76031E-03
  2.42983E+00  5.18181E-01 -6.86950E-03
  2.47891E+00  5.22436E-01 -6.85809E-03
  2.52800E+00  5.25290E-01 -6.68831E-03
  2.57709E+00  5.26460E-01 -6.38163E-03
  2.62618E+00  5.26051E-01 -5.99337E-03
  2.67526E+00  5.24589E-01 -5.56791E-03
  2.72435E+00  5.22846E-01 -5.11597E-03
  2.77344E+00  5.21542E-01 -4.63064E-03
  2.82252E+00  5.21078E-01 -4.12115E-03
  2.87161E+00  5.21450E-01 -3.63111E-03
  2.92070E+00  5.22388E-01 -3.22159E-03
  2.96979E+00  5.23620E-01 -2.92484E-03
  3.01887E+00  5.25085E-01 -2.70471E-03
  3.06796E+00  5.26936E-01 -2.46551E-03
  3.11705E+00  5.29348E-01 -2.10834E-03
  3.16614E+00  5.32302E-01 -1.58963E-03
  3.21522E+00  5.35477E-01 -9.37273E-04
  3.26431E+00  5.38323E-01 -2.25258E-04
  3.31340E+00  5.40238E-01  4.47723E-04
  3.36249E+00  5.40769E-01  9.50890E-04
  3.41157E+00  5.39757E-01  1.12371E-03
  3.46066E+00  5.37397E-01  8.27616E-04
  3.50975E+00  5.34151E-01  2.30133E-05
