 x/h, U+, V+
  2.45437E-02  4.07135E-01 -2.94169E-03
  7.36311E-02  3.99678E-01 -2.97314E-03
  1.22718E-01  3.90367E-01 -2.52071E-03
  1.71806E-01  3.79398E-01 -2.11322E-03
  2.20893E-01  3.67360E-01 -2.27140E-03
  2.69981E-01  3.55152E-01 -3.18281E-03
  3.19068E-01  3.43808E-01 -4.51335E-03
  3.68155E-01  3.34099E-01 -5.48125E-03
  4.17243E-01  3.26135E-01 -5.24516E-03
  4.66330E-01  3.19468E-01 -3.40168E-03
  5.15418E-01  3.13685E-01 -2.31889E-04
  5.64505E-01  3.08862E-01  3.46099E-03
  6.13592E-01  3.05585E-01  6.76279E-03
  6.62680E-01  3.04680E-01  9.02368E-03
  7.11767E-01  3.06880E-01  1.00104E-02
  7.60854E-01  3.12542E-01  9.83499E-03
  8.09942E-01  3.21488E-01  8.78443E-03
  8.59029E-01  3.33036E-01  7.16887E-03
  9.08117E-01  3.46188E-01  5.23613E-03
  9.57204E-01  3.59892E-01  3.14374E-03
  1.00629E+00  3.73280E-01  9.73373E-04
  1.05538E+00  3.85839E-01 -1.22877E-03
  1.10447E+00  3.97474E-01 -3.40976E-03
  1.15355E+00  4.08442E-01 -5.49052E-03
  1.20264E+00  4.19177E-01 -7.37789E-03
  1.25173E+00  4.30058E-01 -8.99461E-03
  1.30082E+00  4.41208E-01 -1.02999E-02
  1.34990E+00  4.52425E-01 -1.12902E-02
  1.39899E+00  4.63285E-01 -1.19983E-02
  1.44808E+00  4.73384E-01 -1.25029E-02
  1.49717E+00  4.82586E-01 -1.29085E-02
  1.54625E+00  4.91088E-01 -1.32585E-02
  1.59534E+00  4.99241E-01 -1.34403E-02
  1.64443E+00  5.07265E-01 -1.32241E-02
  1.69351E+00  5.15143E-01 -1.24718E-02
  1.74260E+00  5.22770E-01 -1.13614E-02
  1.79169E+00  5.30208E-01 -1.04208E-02
  1.84078E+00  5.37789E-01 -1.02635E-02
  1.88986E+00  5.46051E-01 -1.10481E-02
  1.93895E+00  5.55493E-01 -1.20051E-02
  1.98804E+00  5.66157E-01 -1.16911E-02
  2.03713E+00  5.77256E-01 -9.10713E-03
  2.08621E+00  5.87333E-01 -4.67924E-03
  2.13530E+00  5.95024E-01 -5.80302E-05
  2.18439E+00  5.99872E-01  3.01889E-03
  2.23348E+00  6.02602E-01  3.74749E-03
  2.28256E+00  6.04761E-01  2.55354E-03
  2.33165E+00  6.07775E-01  7.77662E-04
  2.38074E+00  6.11801E-01  2.34184E-05
  2.42983E+00  6.15426E-01  1.33182E-03
  2.47891E+00  6.16832E-01  4.54004E-03
  2.52800E+00  6.15271E-01  8.35309E-03
  2.57709E+00  6.11003E-01  1.11368E-02
  2.62618E+00  6.03842E-01  1.17837E-02
  2.67526E+00  5.92448E-01  1.01261E-02
  2.72435E+00  5.75582E-01  6.88068E-03
  2.77344E+00  5.53836E-01  3.26251E-03
  2.82252E+00  5.29645E-01  3.73960E-04
  2.87161E+00  5.05690E-01 -1.33769E-03
  2.92070E+00  4.83616E-01 -2.13699E-03
  2.96979E+00  4.64021E-01 -2.53572E-03
  3.01887E+00  4.46987E-01 -2.76847E-03
  3.06796E+00  4.32368E-01 -2.66043E-03
  3.11705E+00  4.19812E-01 -1.90513E-03
  3.16614E+00  4.08846E-01 -4.12512E-04
  3.21522E+00  3.99084E-01  1.58551E-03
  3.26431E+00  3.90373E-01  3.68994E-03
  3.31340E+00  3.82762E-01  5.55572E-03
  3.36249E+00  3.76384E-01  7.00834E-03
  3.41157E+00  3.71369E-01  8.02660E-03
  3.46066E+00  3.67781E-01  8.66833E-03
  3.50975E+00  3.65577E-01  9.01837E-03
  3.55884E+00  3.64621E-01  9.16484E-03
  3.60792E+00  3.64762E-01  9.17398E-03
  3.65701E+00  3.65911E-01  9.08733E-03
  3.70610E+00  3.68005E-01  8.97302E-03
  3.75518E+00  3.70866E-01  8.97177E-03
  3.80427E+00  3.74179E-01  9.26701E-03
  3.85336E+00  3.77697E-01  1.00040E-02
  3.90245E+00  3.81482E-01  1.12113E-02
  3.95153E+00  3.85872E-01  1.27391E-02
  4.00062E+00  3.91221E-01  1.42393E-02
  4.04971E+00  3.97686E-01  1.52356E-02
  4.09880E+00  4.05219E-01  1.52849E-02
  4.14788E+00  4.13635E-01  1.41699E-02
  4.19697E+00  4.22653E-01  1.20312E-02
  4.24606E+00  4.31951E-01  9.35990E-03
  4.29515E+00  4.41225E-01  6.80833E-03
  4.34423E+00  4.50212E-01  4.88167E-03
  4.39332E+00  4.58683E-01  3.73358E-03
  4.44241E+00  4.66496E-01  3.25333E-03
  4.49150E+00  4.73652E-01  3.30972E-03
  4.54058E+00  4.80234E-01  3.82614E-03
  4.58967E+00  4.86248E-01  4.62264E-03
  4.63876E+00  4.91543E-01  5.30779E-03
  4.68785E+00  4.95968E-01  5.44300E-03
  4.73693E+00  4.99595E-01  4.85547E-03
  4.78602E+00  5.02705E-01  3.80519E-03
  4.83511E+00  5.05551E-01  2.84064E-03
  4.88419E+00  5.08199E-01  2.40329E-03
  4.93328E+00  5.10537E-01  2.44464E-03
  4.98237E+00  5.12140E-01  2.41295E-03
  5.03146E+00  5.12154E-01  1.79544E-03
  5.08054E+00  5.09980E-01  8.89165E-04
  5.12963E+00  5.06782E-01  7.95094E-04
  5.17872E+00  5.06074E-01  2.13896E-03
  5.22781E+00  5.11995E-01  4.06480E-03
  5.27689E+00  5.26225E-01  5.30561E-03
  5.32598E+00  5.46106E-01  5.68577E-03
  5.37507E+00  5.65668E-01  5.62755E-03
  5.42416E+00  5.78811E-01  5.08144E-03
  5.47324E+00  5.82458E-01  3.58697E-03
  5.52233E+00  5.78116E-01  1.04724E-03
  5.57142E+00  5.71070E-01 -1.62188E-03
  5.62051E+00  5.67012E-01 -2.78984E-03
  5.66959E+00  5.67604E-01 -1.58438E-03
  5.71868E+00  5.69169E-01  1.09552E-03
  5.76777E+00  5.66607E-01  3.67833E-03
  5.81686E+00  5.58287E-01  5.60119E-03
  5.86594E+00  5.46659E-01  7.43408E-03
  5.91503E+00  5.34730E-01  9.69774E-03
  5.96412E+00  5.23085E-01  1.17172E-02
  6.01320E+00  5.11008E-01  1.19315E-02
  6.06229E+00  4.99356E-01  9.57785E-03
  6.11138E+00  4.91032E-01  5.78927E-03
  6.16047E+00  4.88938E-01  3.05270E-03
  6.20955E+00  4.93793E-01  3.49267E-03
  6.25864E+00  5.03727E-01  7.20549E-03
  6.30773E+00  5.15773E-01  1.23299E-02
  6.35682E+00  5.26953E-01  1.65835E-02
  6.40590E+00  5.34021E-01  1.83088E-02
  6.45499E+00  5.34250E-01  1.68603E-02
