 x/h, U+, V+
  2.45437E-02  3.99000E-01 -6.15962E-03
  7.36311E-02  3.99048E-01 -4.38346E-03
  1.22718E-01  3.99008E-01 -2.46383E-03
  1.71806E-01  3.99305E-01 -7.57284E-04
  2.20893E-01  4.00453E-01  4.64952E-04
  2.69981E-01  4.02777E-01  1.07539E-03
  3.19068E-01  4.06152E-01  1.10490E-03
  3.68155E-01  4.09954E-01  7.51741E-04
  4.17243E-01  4.13067E-01  3.94742E-04
  4.66330E-01  4.13699E-01  4.86797E-04
  5.15418E-01  4.09306E-01  1.23425E-03
  5.64505E-01  3.97526E-01  2.35230E-03
  6.13592E-01  3.78092E-01  3.29808E-03
  6.62680E-01  3.53887E-01  3.78813E-03
  7.11767E-01  3.29866E-01  4.06106E-03
  7.60854E-01  3.10726E-01  4.72275E-03
  8.09942E-01  2.99067E-01  6.37306E-03
  8.59029E-01  2.94972E-01  9.28401E-03
  9.08117E-01  2.96850E-01  1.33279E-02
  9.57204E-01  3.02656E-01  1.81337E-02
  1.00629E+00  3.10727E-01  2.32793E-02
  1.05538E+00  3.20049E-01  2.83954E-02
  1.10447E+00  3.30164E-01  3.31825E-02
  1.15355E+00  3.40913E-01  3.73707E-02
  1.20264E+00  3.52191E-01  4.06499E-02
  1.25173E+00  3.63783E-01  4.26177E-02
  1.30082E+00  3.75318E-01  4.28252E-02
  1.34990E+00  3.86271E-01  4.09686E-02
  1.39899E+00  3.95980E-01  3.71548E-02
  1.44808E+00  4.03702E-01  3.20211E-02
  1.49717E+00  4.08758E-01  2.65276E-02
  1.54625E+00  4.10683E-01  2.15191E-02
  1.59534E+00  4.09228E-01  1.73617E-02
  1.64443E+00  4.04333E-01  1.39043E-02
  1.69351E+00  3.96395E-01  1.08099E-02
  1.74260E+00  3.86914E-01  8.06011E-03
  1.79169E+00  3.78927E-01  6.22060E-03
  1.84078E+00  3.76460E-01  6.16537E-03
  1.88986E+00  3.82942E-01  8.38459E-03
  1.93895E+00  3.99553E-01  1.24091E-02
  1.98804E+00  4.24579E-01  1.68570E-02
  2.03713E+00  4.53986E-01  2.00701E-02
  2.08621E+00  4.82928E-01  2.09399E-02
  2.13530E+00  5.07412E-01  1.96736E-02
  2.18439E+00  5.24411E-01  1.79402E-02
  2.23348E+00  5.30643E-01  1.75765E-02
  2.28256E+00  5.23846E-01  1.89469E-02
  2.33165E+00  5.06544E-01  2.10761E-02
  2.38074E+00  4.86076E-01  2.28269E-02
  2.42983E+00  4.69798E-01  2.33486E-02
  2.47891E+00  4.61286E-01  2.20361E-02
  2.52800E+00  4.60403E-01  1.86483E-02
  2.57709E+00  4.65137E-01  1.34312E-02
  2.62618E+00  4.73219E-01  7.10018E-03
  2.67526E+00  4.83017E-01  7.51294E-04
  2.72435E+00  4.93142E-01 -4.54056E-03
  2.77344E+00  5.01675E-01 -8.21069E-03
  2.82252E+00  5.07401E-01 -9.93107E-03
  2.87161E+00  5.11647E-01 -9.69143E-03
  2.92070E+00  5.17191E-01 -9.10686E-03
  2.96979E+00  5.26195E-01 -1.02891E-02
  3.01887E+00  5.39301E-01 -1.19572E-02
  3.06796E+00  5.54352E-01 -1.04503E-02
  3.11705E+00  5.67492E-01 -5.56526E-03
  3.16614E+00  5.77174E-01 -1.03556E-03
  3.21522E+00  5.84205E-01  9.24204E-05
  3.26431E+00  5.88439E-01 -2.34393E-03
  3.31340E+00  5.88887E-01 -6.70473E-03
  3.36249E+00  5.86198E-01 -1.10559E-02
  3.41157E+00  5.82325E-01 -1.38775E-02
  3.46066E+00  5.77551E-01 -1.44592E-02
  3.50975E+00  5.69398E-01 -1.31650E-02
  3.55884E+00  5.55342E-01 -1.10647E-02
  3.60792E+00  5.36085E-01 -9.13060E-03
  3.65701E+00  5.15627E-01 -7.84165E-03
  3.70610E+00  4.98700E-01 -7.35515E-03
  3.75518E+00  4.88593E-01 -7.74456E-03
  3.80427E+00  4.86679E-01 -9.08462E-03
  3.85336E+00  4.92772E-01 -1.15364E-02
  3.90245E+00  5.05458E-01 -1.54012E-02
  3.95153E+00  5.22562E-01 -2.08297E-02
  4.00062E+00  5.42054E-01 -2.72374E-02
  4.04971E+00  5.61893E-01 -3.33745E-02
  4.09880E+00  5.79124E-01 -3.82780E-02
  4.14788E+00  5.94206E-01 -4.03205E-02
  4.19697E+00  6.12745E-01 -3.55900E-02
  4.24606E+00  6.29525E-01 -2.38102E-02
  4.29515E+00  6.23770E-01 -1.29296E-02
  4.34423E+00  5.85428E-01 -9.63925E-03
  4.39332E+00  5.29102E-01 -1.21858E-02
  4.44241E+00  4.77081E-01 -1.48339E-02
  4.49150E+00  4.40947E-01 -1.43403E-02
  4.54058E+00  4.19292E-01 -1.11437E-02
  4.58967E+00  4.05523E-01 -7.25852E-03
  4.63876E+00  3.94848E-01 -4.62068E-03
  4.68785E+00  3.85995E-01 -3.90331E-03
  4.73693E+00  3.79270E-01 -3.94196E-03
  4.78602E+00  3.74913E-01 -3.03754E-03
  4.83511E+00  3.73527E-01 -9.37005E-04
  4.88419E+00  3.76348E-01  1.29777E-03
  4.93328E+00  3.83652E-01  2.95477E-03
  4.98237E+00  3.93839E-01  3.91923E-03
  5.03146E+00  4.05096E-01  3.19270E-03
  5.08054E+00  4.16935E-01 -1.33744E-03
  5.12963E+00  4.29501E-01 -1.06002E-02
  5.17872E+00  4.43046E-01 -2.24200E-02
  5.22781E+00  4.57901E-01 -3.22859E-02
  5.27689E+00  4.71530E-01 -3.64576E-02
  5.32598E+00  4.77118E-01 -3.49829E-02
  5.37507E+00  4.70910E-01 -3.06102E-02
  5.42416E+00  4.58744E-01 -2.53769E-02
  5.47324E+00  4.50745E-01 -1.99083E-02
  5.52233E+00  4.52146E-01 -1.44693E-02
  5.57142E+00  4.60892E-01 -9.31825E-03
  5.62051E+00  4.71272E-01 -4.58701E-03
  5.66959E+00  4.78479E-01 -2.10193E-04
  5.71868E+00  4.81062E-01  4.04744E-03
  5.76777E+00  4.80680E-01  8.38428E-03
  5.81686E+00  4.80179E-01  1.26331E-02
  5.86594E+00  4.81659E-01  1.61242E-02
  5.91503E+00  4.85491E-01  1.80085E-02
  5.96412E+00  4.90310E-01  1.78738E-02
  6.01320E+00  4.93686E-01  1.60771E-02
  6.06229E+00  4.93253E-01  1.34243E-02
  6.11138E+00  4.87675E-01  1.05805E-02
  6.16047E+00  4.76984E-01  7.88483E-03
  6.20955E+00  4.62460E-01  5.60235E-03
  6.25864E+00  4.46394E-01  4.09581E-03
  6.30773E+00  4.31603E-01  3.64033E-03
  6.35682E+00  4.20604E-01  4.05257E-03
  6.40590E+00  4.14841E-01  4.52247E-03
  6.45499E+00  4.14552E-01  3.92297E-03
  6.50408E+00  4.19157E-01  1.45403E-03
  6.55317E+00  4.27625E-01 -2.81010E-03
  6.60225E+00  4.38537E-01 -7.83393E-03
  6.65134E+00  4.49994E-01 -1.21349E-02
  6.70043E+00  4.59650E-01 -1.46416E-02
  6.74952E+00  4.65159E-01 -1.52187E-02
  6.79860E+00  4.64957E-01 -1.44358E-02
  6.84769E+00  4.58913E-01 -1.29889E-02
  6.89678E+00  4.48379E-01 -1.13857E-02
  6.94587E+00  4.35667E-01 -9.95566E-03
  6.99495E+00  4.23390E-01 -8.90122E-03
  7.04404E+00  4.14011E-01 -8.25381E-03
  7.09313E+00  4.09703E-01 -7.78476E-03
  7.14221E+00  4.12248E-01 -6.97284E-03
  7.19130E+00  4.22640E-01 -5.15770E-03
  7.24039E+00  4.40447E-01 -1.94337E-03
  7.28948E+00  4.63466E-01  2.35873E-03
  7.33856E+00  4.88231E-01  6.68816E-03
  7.38765E+00  5.11143E-01  9.86102E-03
  7.43674E+00  5.28866E-01  1.14298E-02
  7.48583E+00  5.36844E-01  1.16388E-02
