 x/h, U+, V+
  2.45437E-02  2.92932E-01  2.61962E-02
  7.36311E-02  2.98416E-01  3.06108E-02
  1.22718E-01  3.02818E-01  3.45724E-02
  1.71806E-01  3.06022E-01  3.70819E-02
  2.20893E-01  3.07287E-01  3.75609E-02
  2.69981E-01  3.05729E-01  3.59616E-02
  3.19068E-01  3.01675E-01  3.28896E-02
  3.68155E-01  2.97229E-01  2.96221E-02
  4.17243E-01  2.95010E-01  2.75026E-02
  4.66330E-01  2.96449E-01  2.69499E-02
  5.15418E-01  3.01502E-01  2.73274E-02
  5.64505E-01  3.09495E-01  2.78315E-02
  6.13592E-01  3.19770E-01  2.82334E-02
  6.62680E-01  3.31734E-01  2.88278E-02
  7.11767E-01  3.44742E-01  2.99166E-02
  7.60854E-01  3.58079E-01  3.14354E-02
  8.09942E-01  3.71122E-01  3.30191E-02
  8.59029E-01  3.83560E-01  3.43478E-02
  9.08117E-01  3.95546E-01  3.54286E-02
  9.57204E-01  4.07605E-01  3.66169E-02
  1.00629E+00  4.20356E-01  3.84146E-02
  1.05538E+00  4.34208E-01  4.12128E-02
  1.10447E+00  4.49217E-01  4.51280E-02
  1.15355E+00  4.65096E-01  4.99419E-02
  1.20264E+00  4.81306E-01  5.49621E-02
  1.25173E+00  4.97323E-01  5.86952E-02
  1.30082E+00  5.13094E-01  5.88438E-02
  1.34990E+00  5.29211E-01  5.34606E-02
  1.39899E+00  5.46040E-01  4.27715E-02
  1.44808E+00  5.62372E-01  2.95855E-02
  1.49717E+00  5.75666E-01  1.74180E-02
  1.54625E+00  5.84119E-01  8.32910E-03
  1.59534E+00  5.88066E-01  2.53374E-03
  1.64443E+00  5.89247E-01 -7.17802E-04
  1.69351E+00  5.89220E-01 -2.36169E-03
  1.74260E+00  5.88603E-01 -3.19124E-03
  1.79169E+00  5.87371E-01 -3.73011E-03
  1.84078E+00  5.85536E-01 -4.19691E-03
  1.88986E+00  5.83559E-01 -4.57569E-03
  1.93895E+00  5.82253E-01 -4.76308E-03
  1.98804E+00  5.82236E-01 -4.73232E-03
  2.03713E+00  5.83326E-01 -4.63956E-03
  2.08621E+00  5.84465E-01 -4.76849E-03
  2.13530E+00  5.84296E-01 -5.32558E-03
  2.18439E+00  5.81766E-01 -6.34372E-03
  2.23348E+00  5.76263E-01 -7.83117E-03
  2.28256E+00  5.67811E-01 -9.76480E-03
  2.33165E+00  5.57766E-01 -1.17849E-02
  2.38074E+00  5.48752E-01 -1.34190E-02
  2.42983E+00  5.42875E-01 -1.48797E-02
  2.47891E+00  5.40138E-01 -1.69288E-02
  2.52800E+00  5.39255E-01 -1.96460E-02
  2.57709E+00  5.39431E-01 -2.19358E-02
  2.62618E+00  5.40602E-01 -2.25461E-02
  2.67526E+00  5.42556E-01 -2.12705E-02
  2.72435E+00  5.44820E-01 -1.88483E-02
  2.77344E+00  5.46824E-01 -1.59056E-02
  2.82252E+00  5.46425E-01 -1.25975E-02
  2.87161E+00  5.38373E-01 -9.35184E-03
  2.92070E+00  5.17168E-01 -7.13339E-03
  2.96979E+00  4.83027E-01 -6.42656E-03
  3.01887E+00  4.43480E-01 -6.49817E-03
  3.06796E+00  4.08242E-01 -6.09525E-03
  3.11705E+00  3.83344E-01 -4.57653E-03
  3.16614E+00  3.69709E-01 -2.23918E-03
  3.21522E+00  3.65304E-01  8.53451E-05
  3.26431E+00  3.67570E-01  1.52397E-03
  3.31340E+00  3.74587E-01  1.47181E-03
  3.36249E+00  3.85211E-01 -2.43915E-04
  3.41157E+00  3.98819E-01 -3.29791E-03
  3.46066E+00  4.14976E-01 -6.93489E-03
  3.50975E+00  4.33054E-01 -1.02577E-02
  3.55884E+00  4.51903E-01 -1.26687E-02
  3.60792E+00  4.69859E-01 -1.40811E-02
  3.65701E+00  4.85110E-01 -1.46432E-02
  3.70610E+00  4.96099E-01 -1.43996E-02
  3.75518E+00  5.01876E-01 -1.34020E-02
  3.80427E+00  5.02461E-01 -1.19764E-02
  3.85336E+00  4.99023E-01 -1.06431E-02
  3.90245E+00  4.93610E-01 -9.85312E-03
  3.95153E+00  4.88635E-01 -9.91636E-03
  4.00062E+00  4.86336E-01 -1.10579E-02
  4.04971E+00  4.88285E-01 -1.33290E-02
  4.09880E+00  4.95109E-01 -1.63478E-02
  4.14788E+00  5.06483E-01 -1.91066E-02
