 x/h, U+, V+
  2.45437E-02  4.87501E-01 -7.56928E-03
  7.36311E-02  4.72710E-01 -6.88464E-03
  1.22718E-01  4.60950E-01 -5.51091E-03
  1.71806E-01  4.51209E-01 -4.08781E-03
  2.20893E-01  4.44217E-01 -2.68024E-03
  2.69981E-01  4.41838E-01 -1.55848E-03
  3.19068E-01  4.44966E-01 -1.67784E-03
  3.68155E-01  4.52588E-01 -4.10619E-03
  4.17243E-01  4.62223E-01 -9.23583E-03
  4.66330E-01  4.71045E-01 -1.63705E-02
  5.15418E-01  4.77096E-01 -2.38398E-02
  5.64505E-01  4.80285E-01 -2.95925E-02
  6.13592E-01  4.82518E-01 -3.19615E-02
  6.62680E-01  4.86111E-01 -3.03529E-02
  7.11767E-01  4.91557E-01 -2.54999E-02
  7.60854E-01  4.97388E-01 -1.88274E-02
  8.09942E-01  5.02039E-01 -1.16830E-02
  8.59029E-01  5.04715E-01 -5.58109E-03
  9.08117E-01  5.04103E-01 -2.44405E-03
  9.57204E-01  4.97544E-01 -3.12140E-03
  1.00629E+00  4.83190E-01 -5.24959E-03
  1.05538E+00  4.62732E-01 -4.17517E-03
  1.10447E+00  4.40513E-01  2.46850E-03
  1.15355E+00  4.20651E-01  1.21388E-02
  1.20264E+00  4.06274E-01  1.99416E-02
  1.25173E+00  4.00045E-01  2.27600E-02
  1.30082E+00  4.03735E-01  2.07902E-02
  1.34990E+00  4.17311E-01  1.62509E-02
  1.39899E+00  4.38714E-01  1.13577E-02
  1.44808E+00  4.64665E-01  7.16679E-03
  1.49717E+00  4.91976E-01  3.72276E-03
  1.54625E+00  5.18201E-01  9.39076E-04
  1.59534E+00  5.41140E-01 -8.87470E-04
  1.64443E+00  5.58251E-01 -1.39862E-03
  1.69351E+00  5.67249E-01 -6.79352E-04
  1.74260E+00  5.67535E-01  8.08515E-04
  1.79169E+00  5.60874E-01  2.68887E-03
  1.84078E+00  5.50558E-01  4.87181E-03
  1.88986E+00  5.39817E-01  7.31464E-03
  1.93895E+00  5.30631E-01  9.75939E-03
  1.98804E+00  5.23372E-01  1.17821E-02
  2.03713E+00  5.17142E-01  1.30415E-02
  2.08621E+00  5.10741E-01  1.35251E-02
  2.13530E+00  5.03987E-01  1.36908E-02
  2.18439E+00  4.98328E-01  1.42760E-02
  2.23348E+00  4.95992E-01  1.57022E-02
  2.28256E+00  4.98459E-01  1.76435E-02
  2.33165E+00  5.05708E-01  1.93339E-02
  2.38074E+00  5.16520E-01  2.02649E-02
  2.42983E+00  5.29164E-01  2.04614E-02
  2.47891E+00  5.41982E-01  2.01421E-02
  2.52800E+00  5.53743E-01  1.93479E-02
  2.57709E+00  5.63791E-01  1.79759E-02
  2.62618E+00  5.72095E-01  1.58798E-02
  2.67526E+00  5.79314E-01  1.27181E-02
  2.72435E+00  5.86617E-01  8.00949E-03
  2.77344E+00  5.95033E-01  1.80090E-03
  2.82252E+00  6.04637E-01 -4.77328E-03
  2.87161E+00  6.14401E-01 -1.01339E-02
  2.92070E+00  6.23094E-01 -1.34323E-02
  2.96979E+00  6.30119E-01 -1.47472E-02
  3.01887E+00  6.35065E-01 -1.47693E-02
  3.06796E+00  6.37215E-01 -1.45540E-02
  3.11705E+00  6.36640E-01 -1.47510E-02
  3.16614E+00  6.35551E-01 -1.49101E-02
  3.21522E+00  6.37064E-01 -1.40979E-02
  3.26431E+00  6.41977E-01 -1.22491E-02
  3.31340E+00  6.47713E-01 -1.02386E-02
  3.36249E+00  6.50388E-01 -8.37445E-03
  3.41157E+00  6.46653E-01 -5.63756E-03
  3.46066E+00  6.34645E-01 -1.19799E-03
  3.50975E+00  6.15624E-01  3.79286E-03
  3.55884E+00  5.94584E-01  6.47051E-03
  3.60792E+00  5.78086E-01  4.37625E-03
  3.65701E+00  5.71077E-01 -1.70271E-03
  3.70610E+00  5.73971E-01 -7.13852E-03
  3.75518E+00  5.81437E-01 -7.77562E-03
  3.80427E+00  5.86158E-01 -4.26362E-03
  3.85336E+00  5.84967E-01 -2.30254E-04
  3.90245E+00  5.79942E-01  1.91158E-03
  3.95153E+00  5.74387E-01  1.95781E-03
  4.00062E+00  5.69538E-01  6.47767E-04
  4.04971E+00  5.63941E-01 -1.29327E-03
  4.09880E+00  5.53944E-01 -3.57388E-03
  4.14788E+00  5.35328E-01 -6.43244E-03
  4.19697E+00  5.06886E-01 -9.85137E-03
  4.24606E+00  4.73253E-01 -1.24283E-02
  4.29515E+00  4.42598E-01 -1.16947E-02
  4.34423E+00  4.19804E-01 -6.43859E-03
  4.39332E+00  4.02171E-01  1.27105E-03
  4.44241E+00  3.83490E-01  7.46741E-03
  4.49150E+00  3.61932E-01  9.78434E-03
  4.54058E+00  3.42204E-01  8.83073E-03
  4.58967E+00  3.30521E-01  6.92187E-03
  4.63876E+00  3.28891E-01  6.17385E-03
  4.68785E+00  3.34209E-01  7.17588E-03
  4.73693E+00  3.41694E-01  8.98677E-03
  4.78602E+00  3.48306E-01  1.02748E-02
  4.83511E+00  3.53527E-01  1.03349E-02
  4.88419E+00  3.58335E-01  9.22308E-03
  4.93328E+00  3.64028E-01  7.34185E-03
  4.98237E+00  3.71565E-01  5.10343E-03
  5.03146E+00  3.81328E-01  2.87119E-03
  5.08054E+00  3.93078E-01  9.81238E-04
