 x/h, U+, V+
  2.45437E-02  4.15887E-01  6.97858E-03
  7.36311E-02  4.19966E-01  7.79889E-03
  1.22718E-01  4.22487E-01  8.28330E-03
  1.71806E-01  4.24303E-01  8.34050E-03
  2.20893E-01  4.26110E-01  7.95287E-03
  2.69981E-01  4.28326E-01  7.16492E-03
  3.19068E-01  4.31016E-01  6.07124E-03
  3.68155E-01  4.33843E-01  4.77289E-03
  4.17243E-01  4.36067E-01  3.31164E-03
  4.66330E-01  4.36695E-01  1.65601E-03
  5.15418E-01  4.34673E-01 -2.37620E-04
  5.64505E-01  4.28776E-01 -2.43824E-03
  6.13592E-01  4.17351E-01 -5.18456E-03
  6.62680E-01  3.98915E-01 -8.76758E-03
  7.11767E-01  3.73962E-01 -1.28062E-02
  7.60854E-01  3.46326E-01 -1.55168E-02
  8.09942E-01  3.21679E-01 -1.43510E-02
  8.59029E-01  3.03475E-01 -8.20334E-03
  9.08117E-01  2.90930E-01  1.46140E-03
  9.57204E-01  2.81428E-01  1.21153E-02
  1.00629E+00  2.73447E-01  2.18273E-02
  1.05538E+00  2.66974E-01  2.96121E-02
  1.10447E+00  2.62549E-01  3.52341E-02
  1.15355E+00  2.60491E-01  3.89422E-02
  1.20264E+00  2.60641E-01  4.11993E-02
  1.25173E+00  2.62467E-01  4.24809E-02
  1.30082E+00  2.65286E-01  4.31721E-02
  1.34990E+00  2.68476E-01  4.35153E-02
  1.39899E+00  2.71562E-01  4.35686E-02
  1.44808E+00  2.74144E-01  4.32082E-02
  1.49717E+00  2.75696E-01  4.22153E-02
  1.54625E+00  2.75415E-01  4.03983E-02
  1.59534E+00  2.72404E-01  3.76696E-02
  1.64443E+00  2.66306E-01  3.41038E-02
  1.69351E+00  2.57949E-01  3.00104E-02
  1.74260E+00  2.49278E-01  2.58561E-02
  1.79169E+00  2.42508E-01  2.19500E-02
  1.84078E+00  2.39267E-01  1.82609E-02
  1.88986E+00  2.40441E-01  1.46848E-02
  1.93895E+00  2.46422E-01  1.13940E-02
  1.98804E+00  2.57189E-01  8.69445E-03
  2.03713E+00  2.72238E-01  6.50635E-03
  2.08621E+00  2.90647E-01  4.24071E-03
  2.13530E+00  3.11159E-01  1.41409E-03
  2.18439E+00  3.32131E-01 -1.69511E-03
  2.23348E+00  3.51581E-01 -4.13041E-03
  2.28256E+00  3.67465E-01 -5.02315E-03
  2.33165E+00  3.78150E-01 -4.41542E-03
  2.38074E+00  3.82810E-01 -3.44718E-03
  2.42983E+00  3.81082E-01 -3.57548E-03
  2.47891E+00  3.72223E-01 -5.33021E-03
  2.52800E+00  3.56132E-01 -7.71730E-03
  2.57709E+00  3.36067E-01 -8.93538E-03
  2.62618E+00  3.17767E-01 -7.85178E-03
  2.67526E+00  3.04820E-01 -4.85925E-03
  2.72435E+00  2.96921E-01 -1.28363E-03
  2.77344E+00  2.92099E-01  1.83387E-03
  2.82252E+00  2.88719E-01  4.24906E-03
  2.87161E+00  2.85902E-01  6.18720E-03
  2.92070E+00  2.83374E-01  7.89193E-03
  2.96979E+00  2.81249E-01  9.49389E-03
  3.01887E+00  2.79720E-01  1.10308E-02
  3.06796E+00  2.78781E-01  1.23417E-02
  3.11705E+00  2.78213E-01  1.29542E-02
  3.16614E+00  2.77854E-01  1.22772E-02
  3.21522E+00  2.77844E-01  1.00697E-02
  3.26431E+00  2.78554E-01  6.77470E-03
  3.31340E+00  2.80226E-01  3.38334E-03
  3.36249E+00  2.82713E-01  9.21887E-04
  3.41157E+00  2.85576E-01 -1.86288E-05
  3.46066E+00  2.88393E-01  5.62560E-04
