 x/h, U+, V+
  2.45437E-02  5.45479E-01 -7.50947E-03
  7.36311E-02  5.46521E-01 -8.60064E-03
  1.22718E-01  5.49712E-01 -9.46753E-03
  1.71806E-01  5.54762E-01 -1.00294E-02
  2.20893E-01  5.60641E-01 -1.02839E-02
  2.69981E-01  5.66027E-01 -1.03421E-02
  3.19068E-01  5.70145E-01 -1.03381E-02
  3.68155E-01  5.73018E-01 -1.03013E-02
  4.17243E-01  5.74847E-01 -1.03139E-02
  4.66330E-01  5.76185E-01 -1.07829E-02
  5.15418E-01  5.78882E-01 -1.20290E-02
  5.64505E-01  5.84013E-01 -1.36016E-02
  6.13592E-01  5.88478E-01 -1.50466E-02
  6.62680E-01  5.89716E-01 -1.69710E-02
  7.11767E-01  5.93397E-01 -1.92380E-02
  7.60854E-01  6.03430E-01 -2.00154E-02
  8.09942E-01  6.07214E-01 -2.00755E-02
  8.59029E-01  5.96146E-01 -2.16860E-02
  9.08117E-01  5.91587E-01 -1.96754E-02
  9.57204E-01  6.05411E-01 -9.16583E-03
  1.00629E+00  5.97251E-01 -9.64762E-04
  1.05538E+00  5.29153E-01 -4.82550E-03
  1.10447E+00  4.27958E-01 -1.03010E-02
  1.15355E+00  3.46237E-01 -3.41919E-03
  1.20264E+00  3.00174E-01  1.09018E-02
  1.25173E+00  2.77208E-01  2.08838E-02
  1.30082E+00  2.67175E-01  2.34141E-02
  1.34990E+00  2.65989E-01  2.16142E-02
  1.39899E+00  2.70346E-01  1.91572E-02
  1.44808E+00  2.76522E-01  1.81245E-02
  1.49717E+00  2.80986E-01  1.89202E-02
  1.54625E+00  2.81306E-01  2.06739E-02
  1.59534E+00  2.77055E-01  2.22150E-02
  1.64443E+00  2.69856E-01  2.31824E-02
  1.69351E+00  2.62323E-01  2.42676E-02
  1.74260E+00  2.56751E-01  2.64436E-02
  1.79169E+00  2.54381E-01  2.99572E-02
  1.84078E+00  2.55399E-01  3.39242E-02
  1.88986E+00  2.59360E-01  3.67559E-02
  1.93895E+00  2.65840E-01  3.69815E-02
  1.98804E+00  2.75237E-01  3.38926E-02
  2.03713E+00  2.89435E-01  2.78174E-02
  2.08621E+00  3.11780E-01  2.01123E-02
  2.13530E+00  3.45573E-01  1.29812E-02
  2.18439E+00  3.90770E-01  8.80321E-03
  2.23348E+00  4.41445E-01  8.50627E-03
  2.28256E+00  4.88041E-01  1.03741E-02
  2.33165E+00  5.23180E-01  1.14391E-02
  2.38074E+00  5.45301E-01  1.03090E-02
  2.42983E+00  5.57899E-01  7.91907E-03
  2.47891E+00  5.66335E-01  5.36962E-03
  2.52800E+00  5.74605E-01  2.12091E-03
  2.57709E+00  5.83770E-01 -2.80323E-03
  2.62618E+00  5.92919E-01 -8.48742E-03
  2.67526E+00  6.01303E-01 -1.22809E-02
  2.72435E+00  6.09042E-01 -1.24601E-02
  2.77344E+00  6.16300E-01 -9.79541E-03
  2.82252E+00  6.23074E-01 -6.43221E-03
  2.87161E+00  6.29912E-01 -4.16071E-03
  2.92070E+00  6.38022E-01 -3.53451E-03
  2.96979E+00  6.48142E-01 -3.62915E-03
  3.01887E+00  6.58984E-01 -2.81831E-03
  3.06796E+00  6.66501E-01 -6.74540E-04
  3.11705E+00  6.65490E-01  1.30309E-03
  3.16614E+00  6.53764E-01  1.53574E-03
  3.21522E+00  6.35801E-01 -1.90173E-04
  3.26431E+00  6.21192E-01 -3.30030E-03
  3.31340E+00  6.17352E-01 -5.91203E-03
  3.36249E+00  6.23033E-01 -4.77423E-03
  3.41157E+00  6.30602E-01  2.76949E-04
  3.46066E+00  6.34884E-01  4.81293E-03
  3.50975E+00  6.36924E-01  5.14210E-03
  3.55884E+00  6.39376E-01  1.81552E-03
  3.60792E+00  6.41845E-01 -1.87643E-03
  3.65701E+00  6.41563E-01 -3.09305E-03
  3.70610E+00  6.37487E-01 -2.01698E-03
  3.75518E+00  6.32699E-01 -1.57750E-03
  3.80427E+00  6.31792E-01 -4.16742E-03
  3.85336E+00  6.35743E-01 -9.04375E-03
  3.90245E+00  6.39494E-01 -1.29622E-02
  3.95153E+00  6.35437E-01 -1.31491E-02
  4.00062E+00  6.20986E-01 -9.24858E-03
  4.04971E+00  6.01673E-01 -2.63829E-03
  4.09880E+00  5.85611E-01  4.78917E-03
  4.14788E+00  5.77007E-01  1.13301E-02
  4.19697E+00  5.75271E-01  1.59143E-02
  4.24606E+00  5.77638E-01  1.80481E-02
  4.29515E+00  5.81639E-01  1.75318E-02
  4.34423E+00  5.86272E-01  1.46237E-02
  4.39332E+00  5.91808E-01  1.05856E-02
  4.44241E+00  5.98370E-01  7.49281E-03
  4.49150E+00  6.04368E-01  6.53818E-03
  4.54058E+00  6.06613E-01  6.60149E-03
  4.58967E+00  6.02802E-01  5.71687E-03
  4.63876E+00  5.94585E-01  4.15488E-03
  4.68785E+00  5.87372E-01  4.19372E-03
  4.73693E+00  5.85463E-01  5.21558E-03
  4.78602E+00  5.88485E-01  8.69214E-04
  4.83511E+00  5.95023E-01 -1.50880E-02
  4.88419E+00  6.07735E-01 -3.80133E-02
  4.93328E+00  6.29262E-01 -5.26206E-02
  4.98237E+00  6.53815E-01 -5.17605E-02
  5.03146E+00  6.73149E-01 -4.44391E-02
  5.08054E+00  6.89682E-01 -3.81419E-02
  5.12963E+00  7.09059E-01 -2.90312E-02
  5.17872E+00  7.24129E-01 -1.45546E-02
  5.22781E+00  7.22693E-01 -1.86398E-03
  5.27689E+00  7.04433E-01  1.85018E-03
  5.32598E+00  6.78279E-01 -2.82966E-03
  5.37507E+00  6.50636E-01 -1.11059E-02
  5.42416E+00  6.24678E-01 -1.87999E-02
  5.47324E+00  6.06106E-01 -2.28578E-02
  5.52233E+00  5.99910E-01 -2.29830E-02
  5.57142E+00  6.03994E-01 -2.21143E-02
  5.62051E+00  6.13310E-01 -2.25914E-02
  5.66959E+00  6.26949E-01 -2.24299E-02
  5.71868E+00  6.44028E-01 -1.75726E-02
  5.76777E+00  6.54964E-01 -9.48142E-03
  5.81686E+00  6.46253E-01 -4.60546E-03
  5.86594E+00  6.17891E-01 -6.00278E-03
  5.91503E+00  5.96819E-01 -9.67026E-03
  5.96412E+00  6.11294E-01 -7.42785E-03
  6.01320E+00  6.38961E-01  8.75413E-05
  6.06229E+00  6.29169E-01  6.58772E-03
  6.11138E+00  5.69627E-01  1.36728E-02
  6.16047E+00  4.89039E-01  2.37096E-02
  6.20955E+00  4.18849E-01  3.06038E-02
  6.25864E+00  3.73717E-01  2.43392E-02
  6.30773E+00  3.54940E-01  7.82376E-03
  6.35682E+00  3.54987E-01 -3.96515E-03
  6.40590E+00  3.63363E-01 -3.81629E-03
  6.45499E+00  3.74501E-01  4.10601E-03
  6.50408E+00  3.88485E-01  1.33415E-02
  6.55317E+00  4.06757E-01  2.00087E-02
  6.60225E+00  4.29444E-01  2.29279E-02
  6.65134E+00  4.55248E-01  2.24039E-02
