 x/h, U+, V+
  2.45437E-02  6.32530E-01  1.09605E-03
  7.36311E-02  6.38139E-01 -1.34258E-03
  1.22718E-01  6.40196E-01 -2.67097E-03
  1.71806E-01  6.39734E-01 -3.34404E-03
  2.20893E-01  6.38760E-01 -3.98654E-03
  2.69981E-01  6.38660E-01 -4.72683E-03
  3.19068E-01  6.39315E-01 -5.26731E-03
  3.68155E-01  6.40054E-01 -5.75656E-03
  4.17243E-01  6.41179E-01 -7.11150E-03
  4.66330E-01  6.43905E-01 -1.00078E-02
  5.15418E-01  6.48570E-01 -1.37426E-02
  5.64505E-01  6.53496E-01 -1.66126E-02
  6.13592E-01  6.56384E-01 -1.75224E-02
  6.62680E-01  6.56512E-01 -1.68883E-02
  7.11767E-01  6.54908E-01 -1.59769E-02
  7.60854E-01  6.52847E-01 -1.56174E-02
  8.09942E-01  6.50954E-01 -1.55198E-02
  8.59029E-01  6.49550E-01 -1.47668E-02
  9.08117E-01  6.49400E-01 -1.28982E-02
  9.57204E-01  6.51859E-01 -1.03295E-02
  1.00629E+00  6.57874E-01 -7.82410E-03
  1.05538E+00  6.66427E-01 -5.91850E-03
  1.10447E+00  6.74043E-01 -4.85681E-03
  1.15355E+00  6.76547E-01 -4.70424E-03
  1.20264E+00  6.71987E-01 -5.26999E-03
  1.25173E+00  6.61941E-01 -5.90928E-03
  1.30082E+00  6.49663E-01 -5.58415E-03
  1.34990E+00  6.36771E-01 -3.57795E-03
  1.39899E+00  6.22130E-01 -3.18797E-04
  1.44808E+00  6.03965E-01  2.90927E-03
  1.49717E+00  5.81896E-01  5.05846E-03
  1.54625E+00  5.56444E-01  5.76256E-03
  1.59534E+00  5.27774E-01  4.97552E-03
  1.64443E+00  4.96002E-01  2.73495E-03
  1.69351E+00  4.62503E-01 -6.30842E-04
  1.74260E+00  4.30224E-01 -4.32998E-03
  1.79169E+00  4.02394E-01 -7.29836E-03
  1.84078E+00  3.80841E-01 -8.62991E-03
  1.88986E+00  3.65476E-01 -7.95730E-03
  1.93895E+00  3.55140E-01 -5.55017E-03
  1.98804E+00  3.48728E-01 -2.11125E-03
  2.03713E+00  3.45695E-01  1.54007E-03
  2.08621E+00  3.45960E-01  4.71471E-03
  2.13530E+00  3.49576E-01  6.99065E-03
  2.18439E+00  3.56417E-01  8.26481E-03
  2.23348E+00  3.66035E-01  8.71509E-03
  2.28256E+00  3.77719E-01  8.67403E-03
  2.33165E+00  3.90641E-01  8.45844E-03
  2.38074E+00  4.03978E-01  8.21317E-03
  2.42983E+00  4.17013E-01  7.85821E-03
  2.47891E+00  4.29252E-01  7.21451E-03
  2.52800E+00  4.40553E-01  6.23463E-03
  2.57709E+00  4.51106E-01  5.15270E-03
  2.62618E+00  4.61069E-01  4.46162E-03
  2.67526E+00  4.70028E-01  4.75659E-03
  2.72435E+00  4.77153E-01  6.45056E-03
  2.77344E+00  4.82055E-01  9.36663E-03
  2.82252E+00  4.84424E-01  1.25806E-02
  2.87161E+00  4.82660E-01  1.51012E-02
  2.92070E+00  4.74633E-01  1.69378E-02
  2.96979E+00  4.60102E-01  1.89961E-02
  3.01887E+00  4.40969E-01  2.16201E-02
  3.06796E+00  4.19240E-01  2.37586E-02
  3.11705E+00  3.95770E-01  2.39233E-02
  3.16614E+00  3.71260E-01  2.17738E-02
  3.21522E+00  3.47934E-01  1.86725E-02
  3.26431E+00  3.29430E-01  1.67456E-02
  3.31340E+00  3.18490E-01  1.72373E-02
  3.36249E+00  3.15127E-01  1.94860E-02
  3.41157E+00  3.17539E-01  2.14021E-02
  3.46066E+00  3.24382E-01  2.10475E-02
  3.50975E+00  3.35643E-01  1.80599E-02
  3.55884E+00  3.51367E-01  1.37968E-02
  3.60792E+00  3.69965E-01  9.80492E-03
  3.65701E+00  3.88405E-01  6.21117E-03
  3.70610E+00  4.04114E-01  2.57203E-03
  3.75518E+00  4.16142E-01 -3.55428E-04
  3.80427E+00  4.25035E-01 -1.51511E-03
  3.85336E+00  4.32816E-01 -1.33836E-03
  3.90245E+00  4.42311E-01 -1.15806E-03
  3.95153E+00  4.54743E-01 -1.68145E-03
  4.00062E+00  4.67866E-01 -2.48405E-03
  4.04971E+00  4.77074E-01 -2.63917E-03
  4.09880E+00  4.78530E-01 -1.77852E-03
  4.14788E+00  4.71407E-01 -3.51477E-04
  4.19697E+00  4.57595E-01  9.70194E-04
  4.24606E+00  4.39973E-01  1.81049E-03
